Unnamed: 0,CAR,CLE
First Downs,11,14
Rush-Yds-TDs,38-145-0,28-140-0
Cmp-Att-Yd-TD-INT,8-19-89-1-2,12-27-130-0-3
Sacked-Yards,0-0,3-12
Net Pass Yards,89,118
Total Yards,234,258
Fumbles-Lost,1-0,2-2
Turnovers,2,5
Penalties-Yards,3-25,2-10
Third Down Conv.,5-15,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,32:23,27:37
