Unnamed: 0,CIN,CLE
First Downs,33,23
Rush-Yds-TDs,26-137-0,30-226-1
Cmp-Att-Yd-TD-INT,33-50-401-6-2,20-33-328-5-1
Sacked-Yards,1-7,0-0
Net Pass Yards,394,328
Total Yards,531,554
Fumbles-Lost,1-1,2-0
Turnovers,3,1
Penalties-Yards,3-15,6-45
Third Down Conv.,5-11,7-13
Fourth Down Conv.,1-1,0-1
Time of Possession,31:20,28:40
