Quarter,Time,Tm,Detail,CIN,CLE
1.0,10:32,Bengals,Rudi Johnson 13 yard pass from Carson Palmer (Shayne Graham kick),7,0
,4:58,Browns,Phil Dawson 39 yard field goal,7,3
,0:05,Browns,Phil Dawson 39 yard field goal,7,6
2.0,10:56,Browns,Joe Jurevicius 17 yard pass from Derek Anderson (Phil Dawson kick),7,13
,7:33,Bengals,T.J. Houshmandzadeh 23 yard pass from Carson Palmer (Shayne Graham kick),14,13
,6:32,Browns,Joe Jurevicius 9 yard pass from Derek Anderson (Phil Dawson kick),14,20
,3:06,Bengals,Chad Johnson 22 yard pass from Carson Palmer (Shayne Graham kick),21,20
,1:06,Browns,Kellen Winslow 25 yard pass from Derek Anderson (Phil Dawson kick),21,27
3.0,12:09,Bengals,Shayne Graham 20 yard field goal,24,27
,8:17,Browns,Braylon Edwards 34 yard pass from Derek Anderson (Phil Dawson kick),24,34
,6:11,Bengals,Chad Johnson 14 yard pass from Carson Palmer (Shayne Graham kick),31,34
,5:54,Browns,Jamal Lewis 66 yard rush (Phil Dawson kick),31,41
,0:49,Bengals,T.J. Houshmandzadeh 5 yard pass from Carson Palmer (Shayne Graham kick),38,41
4.0,9:59,Browns,Braylon Edwards 37 yard pass from Derek Anderson (Phil Dawson kick),38,48
,5:44,Browns,Phil Dawson 18 yard field goal,38,51
,3:39,Bengals,Glenn Holt 7 yard pass from Carson Palmer (Shayne Graham kick),45,51
