Unnamed: 0,ATL,CAR
First Downs,18,19
Rush-Yds-TDs,28-86-0,23-157-1
Cmp-Att-Yd-TD-INT,22-38-320-4-0,19-39-276-2-2
Sacked-Yards,3-12,2-17
Net Pass Yards,308,259
Total Yards,394,416
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,5-50,5-50
Third Down Conv.,8-17,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,30:43,29:17
