Quarter,Time,Down,ToGo,Location,ATL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Michael Turner left guard for 4 yards (tackle by Andre Neblett and Jordan Senn),0.280,0.270
1,14:16,2,6,ATL 24,0,0,Michael Turner left tackle for 1 yard (tackle by Frank Kearse),0.270,-0.300
1,13:34,3,5,ATL 25,0,0,"Matt Ryan pass complete short right to Roddy White for 8 yards. Penalty on Roddy White: Offensive Pass Interference, 10 yards (no play)",-0.300,-1.860
1,13:11,3,15,ATL 15,0,0,Matt Ryan pass complete short middle to Jacquizz Rodgers for 8 yards (tackle by James Anderson),-1.860,-1.830
1,12:34,4,7,ATL 23,0,0,"Matt Bosher punts 50 yards, returned by Armanti Edwards for 1 yard (tackle by Eric Weems)",-1.830,-0.810
1,12:23,1,10,CAR 28,0,0,Jonathan Stewart right guard for 4 yards (tackle by Sean Weatherspoon),0.810,0.800
1,11:44,2,6,CAR 32,0,0,Cam Newton sacked by Ray Edwards for -11 yards,0.800,-1.350
1,11:13,3,17,CAR 21,0,0,Cam Newton pass incomplete short middle intended for Jonathan Stewart,-1.350,-1.960
1,11:07,4,17,CAR 21,0,0,Jason Baker punts 41 yards,-1.960,-1.470
1,10:55,1,10,ATL 38,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 18 yards (tackle by Captain Munnerlyn and Jordan Senn),1.470,2.650
1,10:11,1,10,CAR 44,0,0,Matt Ryan pass incomplete short left intended for Tony Gonzalez,2.650,2.110
1,10:08,2,10,CAR 44,0,0,Michael Turner up the middle for 3 yards (tackle by Andre Neblett),2.110,1.820
1,9:29,3,7,CAR 41,0,0,Matt Ryan pass complete short right to Roddy White for 11 yards (tackle by Chris Gamble),1.820,3.580
1,8:57,1,10,CAR 30,0,0,Michael Turner right guard for -1 yards (tackle by Charles Johnson),3.580,2.900
1,8:14,2,11,CAR 31,0,0,Matt Ryan pass complete short left to Roddy White for 8 yards (tackle by James Anderson),2.900,3.270
1,7:38,3,3,CAR 23,0,0,Matt Ryan pass complete short right to Roddy White for 9 yards (tackle by Jordan Senn and Captain Munnerlyn),3.270,4.650
1,6:59,1,10,CAR 14,0,0,Michael Turner up the middle for 10 yards (tackle by Charles Godfrey),4.650,6.280
1,6:19,1,4,CAR 4,0,0,Michael Turner up the middle for -1 yards (tackle by James Anderson and Greg Hardy),6.280,5.150
1,5:35,2,5,CAR 5,6,0,"Matt Ryan pass complete short left to Roddy White for 5 yards, touchdown",5.150,7.000
1,,,,CAR 2,7,0,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 35,7,0,"Matt Bosher kicks off 39 yards, fair catch by Richie Brockel",0.000,0.670
1,5:29,1,10,CAR 26,7,0,Cam Newton pass complete short right to Brandon LaFell for 11 yards (tackle by Dominique Franks and Sean Weatherspoon),0.670,1.400
1,4:53,1,10,CAR 37,7,0,Cam Newton pass complete deep left to Steve Smith for 18 yards (tackle by Dunta Robinson),1.400,2.590
1,4:10,1,10,ATL 45,7,0,DeAngelo Williams up the middle for 2 yards (tackle by John Abraham),2.590,2.310
1,3:38,2,8,ATL 43,7,0,Armanti Edwards left end for 5 yards (tackle by Ray Edwards),2.310,2.280
1,2:58,3,3,ATL 38,7,0,Cam Newton left end for 4 yards (tackle by Corey Peters),2.280,3.310
1,2:14,1,10,ATL 34,7,0,Jonathan Stewart left guard for 2 yards (tackle by Curtis Lofton),3.310,3.040
1,1:36,2,8,ATL 32,7,0,Cam Newton pass complete short right to Greg Olsen for 9 yards (tackle by Sean Weatherspoon),3.040,4.040
1,0:53,1,10,ATL 23,7,0,Cam Newton pass complete deep right to Brandon LaFell for 17 yards (tackle by Dominique Franks),4.040,5.830
1,0:07,1,6,ATL 6,7,6,"Cam Newton pass complete short middle to Jeremy Shockey for 6 yards, touchdown",5.830,7.000
1,,,,ATL 2,7,7,Olindo Mare kicks extra point good,0.000,0.000
1,,,,CAR 35,7,7,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
1,0:03,1,10,ATL 20,7,7,Matt Ryan right tackle for 2 yards (tackle by Jordan Senn),0.280,0.000
Quarter,Time,Down,ToGo,Location,ATL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,ATL 22,7,7,Michael Turner right guard for 7 yards (tackle by Chris Gamble),0.000,0.230
2,14:26,3,1,ATL 29,7,7,Michael Turner left guard for 7 yards (tackle by Charles Johnson),0.230,1.330
2,13:45,1,10,ATL 36,7,7,Michael Turner up the middle for -1 yards (tackle by Charles Johnson),1.330,0.660
2,13:07,2,11,ATL 35,7,7,Matt Ryan pass incomplete short right intended for Roddy White (defended by Chris Gamble),0.660,-0.030
2,13:04,3,11,ATL 35,7,7,Matt Ryan pass complete short right to Tony Gonzalez for 3 yards (tackle by Captain Munnerlyn),-0.030,-0.850
2,12:36,4,8,ATL 38,7,7,"Matt Bosher punts 55 yards, returned by Armanti Edwards for 7 yards (tackle by Akeem Dent)",-0.850,0.280
2,12:23,1,10,CAR 14,7,7,Cam Newton pass incomplete short right intended for Greg Olsen (defended by Peria Jerry),-0.280,-0.750
2,12:20,2,10,CAR 14,7,7,Cam Newton pass complete short left to Steve Smith for 16 yards (tackle by Thomas DeCoud),-0.750,0.940
2,11:37,1,10,CAR 30,7,7,DeAngelo Williams up the middle for 2 yards (tackle by Sean Weatherspoon),0.940,0.660
2,10:56,2,8,CAR 32,7,7,Cam Newton right tackle for 12 yards (tackle by Thomas DeCoud),0.660,1.860
2,10:23,1,10,CAR 44,7,7,Cam Newton pass complete short left to Steve Smith for 6 yards (tackle by Thomas DeCoud),1.860,2.130
2,9:44,2,4,,7,7,DeAngelo Williams right guard for -1 yards (tackle by Corey Peters),2.130,1.290
2,8:59,3,5,CAR 49,7,7,Cam Newton pass incomplete short right intended for DeAngelo Williams,1.290,-0.130
2,8:53,4,5,CAR 49,7,7,Jason Baker punts 47 yards,-0.130,0.380
2,8:46,1,10,ATL 4,7,7,Michael Turner right end for 2 yards (tackle by James Anderson and Dan Connor),-0.380,-0.630
