Quarter,Time,Tm,Detail,SFO,DET
1.0,11:23,49ers,Frank Gore 61 yard rush (Joe Nedney kick),7,0
,1:36,49ers,Joe Nedney 28 yard field goal,10,0
2.0,9:46,49ers,Joe Nedney 23 yard field goal,13,0
,0:18,Lions,Jason Hanson 25 yard field goal,13,3
3.0,10:55,49ers,Joe Nedney 23 yard field goal,16,3
,3:40,Lions,Dan Campbell 8 yard pass from Jon Kitna (Jason Hanson kick),16,10
4.0,12:29,49ers,Joe Nedney 47 yard field goal,19,10
,7:57,Lions,Jason Hanson 33 yard field goal,19,13
