Unnamed: 0,SFO,DET
First Downs,17,16
Rush-Yds-TDs,44-198-1,17-71-0
Cmp-Att-Yd-TD-INT,14-21-136-0-0,19-30-202-1-1
Sacked-Yards,3-19,3-22
Net Pass Yards,117,180
Total Yards,315,251
Fumbles-Lost,1-1,3-3
Turnovers,1,4
Penalties-Yards,5-51,5-40
Third Down Conv.,10-19,3-9
Fourth Down Conv.,0-0,0-1
Time of Possession,38:49,21:11
