Unnamed: 0,DAL,GNB
First Downs,24,20
Rush-Yds-TDs,31-159-1,39-207-1
Cmp-Att-Yd-TD-INT,27-46-265-3-2,14-20-224-3-0
Sacked-Yards,2-3,2-16
Net Pass Yards,262,208
Total Yards,421,415
Fumbles-Lost,1-0,3-2
Turnovers,2,2
Penalties-Yards,9-83,6-40
Third Down Conv.,5-15,6-13
Fourth Down Conv.,2-3,1-1
Time of Possession,30:59,35:55
