Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Ramiz Ahmed kicks off 62 yards, returned by KaVontae Turpin for 36 yards (tackle by Johnathan Abram and Ramiz Ahmed)",0.000,1.530
1,14:52,1,10,DAL 39,0,0,Tony Pollard right end for 1 yard (tackle by Rudy Ford),1.530,1.120
1,14:29,2,9,DAL 40,0,0,Dak Prescott pass incomplete short right intended for Tony Pollard,1.120,0.430
1,14:26,3,9,DAL 40,0,0,Dak Prescott pass incomplete short right intended for Michael Gallup,0.430,-0.720
1,14:22,4,9,DAL 40,0,0,"Bryan Anger punts 44 yards, fair catch by Amari Rodgers at GB-16",-0.720,0.140
1,14:15,1,10,GNB 16,0,0,Aaron Jones left end for 4 yards (tackle by Micah Parsons and Dorance Armstrong),-0.140,0.010
1,13:36,2,6,GNB 20,0,0,Aaron Jones right end for 4 yards (tackle by DaRon Bland),0.010,-0.320
1,12:53,3,2,GNB 24,0,0,Aaron Jones left end for 8 yards (tackle by Trevon Diggs),-0.320,1.070
1,12:48,1,10,GNB 32,0,0,"Penalty on DAL: Personal Foul / Defense, 15 yards (accepted) (no play)",1.070,2.060
1,12:27,1,10,GNB 47,0,0,AJ Dillon left guard for 4 yards (tackle by Johnathan Hankins and Osa Odighizuwa),2.060,2.060
1,11:46,2,6,DAL 49,0,0,AJ Dillon right tackle for 4 yards (tackle by Osa Odighizuwa),2.060,1.880
1,11:06,3,2,DAL 45,0,0,AJ Dillon left guard for 4 yards (tackle by Jayron Kearse),1.880,2.850
1,10:28,1,10,DAL 41,0,0,AJ Dillon up the middle for 5 yards (tackle by Neville Gallimore),2.850,2.980
1,9:44,2,5,DAL 36,0,0,Aaron Rodgers pass incomplete short middle intended for Christian Watson,2.980,2.280
1,9:39,3,5,DAL 36,0,0,Aaron Rodgers pass incomplete short right intended for Christian Watson,2.280,0.880
1,9:39,4,5,DAL 36,0,0,Mason Crosby 54 yard field goal no good,0.880,-1.860
1,9:28,1,10,DAL 44,0,0,Tony Pollard left end for 4 yards (tackle by Dean Lowry),1.860,1.860
1,8:51,2,6,DAL 48,0,0,Dak Prescott pass incomplete deep left intended for Noah Brown (defended by Darnell Savage),1.860,1.160
1,8:45,3,6,DAL 48,0,0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,1.160,-0.190
1,8:41,4,6,DAL 48,0,0,"Bryan Anger punts 37 yards, returned by Amari Rodgers for 2 yards (tackle by Luke Gifford)",-0.190,0.060
1,8:31,1,10,GNB 17,0,0,Aaron Jones left end for 2 yards (tackle by DeMarcus Lawrence),-0.060,-0.250
1,7:55,2,8,GNB 19,0,0,Aaron Jones left guard for 8 yards (tackle by Trevon Diggs and Leighton Vander Esch),-0.250,0.740
1,7:18,1,10,GNB 27,0,0,Aaron Rodgers pass complete short left to Robert Tonyan for 8 yards (tackle by Donovan Wilson),0.740,1.210
1,6:35,2,3,GNB 35,0,0,Aaron Jones right end for 17 yards (tackle by DaRon Bland),1.210,2.390
1,5:52,1,10,DAL 48,0,0,AJ Dillon left tackle for no gain (tackle by Quinton Bohanna and DeMarcus Lawrence),2.390,1.850
1,5:09,2,10,DAL 48,0,0,AJ Dillon right end for 8 yards (tackle by Leighton Vander Esch),1.850,2.210
1,4:28,3,2,DAL 40,0,0,Aaron Jones left end for -3 yards (tackle by Micah Parsons and Carlos Watkins),2.210,0.400
1,3:38,4,5,DAL 43,0,0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",0.400,0.070
1,3:38,4,10,DAL 48,0,0,"Pat O'Donnell punts 42 yards, returned by KaVontae Turpin for 11 yards (tackle by Dallin Leavitt)",0.070,0.060
1,3:13,1,10,DAL 17,0,0,Dak Prescott pass complete short middle to CeeDee Lamb for 7 yards (tackle by Rudy Ford),-0.060,0.480
1,2:40,2,3,DAL 24,0,0,"Tony Pollard right guard for no gain (tackle by Isaiah McDuffie). Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted) (no play)",0.480,-0.970
1,2:21,2,13,DAL 14,0,0,Tony Pollard up the middle for 14 yards (tackle by Preston Smith),-0.970,0.810
1,1:44,1,10,DAL 28,0,0,Dak Prescott pass complete short left to Michael Gallup for 3 yards (tackle by Jaire Alexander),0.810,0.670
1,1:06,2,7,DAL 31,0,0,Tony Pollard left guard for 6 yards (tackle by Isaiah McDuffie and Kenny Clark),0.670,0.760
1,0:37,3,1,DAL 37,0,0,Dak Prescott left guard for 2 yards (tackle by Isaiah McDuffie and Kingsley Enagbare),0.760,1.530
1,0:06,1,10,DAL 39,0,0,"Dak Prescott pass complete deep middle to CeeDee Lamb for 21 yards (tackle by Darnell Savage). Penalty on Jarran Reed: Defensive Offside, 5 yards (declined)",1.530,2.920
Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 40,0,0,Tony Pollard left guard for 2 yards (tackle by Kenny Clark and Kingsley Enagbare),2.920,2.640
2,14:17,2,8,GNB 38,0,0,Dak Prescott pass complete short left to CeeDee Lamb for 4 yards (tackle by Jaire Alexander),2.640,2.480
2,13:50,3,4,GNB 34,0,0,Tony Pollard up the middle for 3 yards (tackle by Kingsley Enagbare and Quay Walker),2.480,1.410
2,13:42,4,1,GNB 31,0,0,Dak Prescott right guard for 1 yard (tackle by Dean Lowry and Isaiah McDuffie),1.410,3.580
2,13:22,1,10,GNB 30,0,0,Dak Prescott pass incomplete deep right intended for Noah Brown (no play),3.580,4.310
2,13:12,1,5,GNB 25,0,0,Dak Prescott pass complete short right to Sean McKeon for 1 yard (tackle by Quay Walker),4.310,3.840
2,12:35,2,4,GNB 24,0,0,Dak Prescott pass complete short left to Dalton Schultz for 3 yards (tackle by Darnell Savage and Jaire Alexander),3.840,3.530
2,12:10,3,1,GNB 21,0,0,Dak Prescott up the middle for 2 yards (tackle by Quay Walker),3.530,4.310
2,11:32,1,10,GNB 19,0,0,Dak Prescott pass complete short middle to Tony Pollard for 6 yards (tackle by Kingsley Enagbare),4.310,4.720
2,10:53,2,4,GNB 13,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 5 yards (tackle by Isaiah McDuffie),4.720,5.370
2,10:30,1,8,GNB 8,0,0,Dak Prescott pass complete short right to Dalton Schultz for 5 yards (tackle by Rasul Douglas),5.370,5.530
2,9:57,2,3,GNB 3,6,0,"Dak Prescott pass complete short left to CeeDee Lamb for 3 yards, touchdown",5.530,7.000
2,9:52,,,GNB 15,7,0,Brett Maher kicks extra point good,0.000,0.000
2,9:52,,,DAL 35,7,0,"Brett Maher kicks off 63 yards, returned by Keisean Nixon for 18 yards (tackle by Damone Clark). Penalty on Johnathan Abram: Offensive Holding, 10 yards (accepted)",0.000,-0.380
2,9:46,1,10,GNB 10,7,0,Aaron Rodgers pass complete short right to Allen Lazard for no gain (tackle by DaRon Bland),-0.380,-0.780
2,9:06,2,10,GNB 10,7,0,Aaron Rodgers pass complete short left to Aaron Jones for 7 yards (tackle by Micah Parsons and Malik Hooker),-0.780,-0.600
2,8:24,3,3,GNB 17,7,0,"Aaron Rodgers sacked by DeMarcus Lawrence for -7 yards. Aaron Rodgers fumbles (forced by DeMarcus Lawrence), recovered by Jayron Kearse at GB-10",-0.600,-4.910
2,8:15,1,10,GNB 10,7,0,Malik Davis right tackle for 1 yard (tackle by Kingsley Enagbare),4.910,4.380
2,7:41,2,9,GNB 9,7,0,Dak Prescott sacked by Adrian Amos for -2 yards,4.380,3.120
2,7:09,3,11,GNB 11,7,0,Dak Prescott pass short middle intended for Dalton Schultz is intercepted by Rudy Ford in end zone and returned for 34 yards (tackle by Terence Steele),3.120,-1.140
2,6:57,1,10,GNB 33,7,0,AJ Dillon left tackle for 2 yards (tackle by Leighton Vander Esch and Trevon Diggs),1.140,0.860
2,6:12,2,8,GNB 35,7,0,"Aaron Jones left end for no gain (tackle by Leighton Vander Esch). Penalty on David Bakhtiari: Offensive Holding, 10 yards (offset) . Penalty on Johnathan Hankins: Face Mask (15 Yards), 15 yards (offset)",0.860,0.860
2,5:47,2,8,GNB 35,7,0,Aaron Jones right end for 7 yards (tackle by Jayron Kearse),0.860,1.090
2,5:03,3,1,GNB 42,7,6,"Aaron Rodgers pass complete deep right to Christian Watson for 58 yards, touchdown",1.090,7.000
2,4:54,,,DAL 15,7,7,Mason Crosby kicks extra point good,0.000,0.000
2,4:54,,,GNB 35,7,7,"Ramiz Ahmed kicks off 65 yards, touchback.",0.000,0.610
2,4:54,1,10,DAL 25,7,7,Tony Pollard left tackle for 2 yards (tackle by Isaiah McDuffie and Jonathan Garvin),0.610,0.330
2,4:18,2,8,DAL 27,7,7,"Dak Prescott pass incomplete short right. Penalty on Rasul Douglas: Defensive Holding, 5 yards (accepted) (no play)",0.330,1.070
2,4:11,1,10,DAL 32,7,7,Tony Pollard right end for 4 yards (tackle by Rudy Ford),1.070,1.070
2,3:45,2,6,DAL 36,7,7,Tony Pollard right guard for no gain (tackle by Adrian Amos),1.070,0.370
