Unnamed: 0,LAC,BUF
First Downs,21,17
Rush-Yds-TDs,26-109-1,22-84-1
Cmp-Att-Yd-TD-INT,23-27-256-3-0,18-33-245-1-2
Sacked-Yards,2-16,5-36
Net Pass Yards,240,209
Total Yards,349,293
Fumbles-Lost,2-0,1-0
Turnovers,0,2
Penalties-Yards,6-45,6-31
Third Down Conv.,3-9,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,33:02,26:58
