Quarter,Time,Down,ToGo,Location,LAC,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Philip Rivers left tackle for 7 yards (tackle by Jerry Hughes),0.610,1.010
1,14:18,2,3,LAC 32,0,0,JJ Jones right end for no gain (tackle by Matt Milano),1.010,0.300
1,13:32,3,3,LAC 32,0,0,Philip Rivers pass complete short left to Melvin Gordon for 2 yards (tackle by Vontae Davis),0.300,-1.110
1,12:55,4,1,LAC 34,0,0,"Drew Kaser punts 52 yards, fair catch by Marcus Murphy at BUF-14",-1.110,0.280
1,12:47,1,10,BUF 14,0,0,LeSean McCoy right guard for no gain (tackle by Brandon Mebane and Jahleel Addae),-0.280,-0.750
1,12:14,2,10,BUF 14,0,0,LeSean McCoy right guard for 3 yards (tackle by Isaac Rochell),-0.750,-1.040
1,11:32,3,7,BUF 17,0,0,Josh Allen sacked by Uchenna Nwosu for -3 yards,-1.040,-2.470
1,11:03,4,10,BUF 14,0,0,"Corey Bojorquez punts 44 yards, returned by JJ Jones for 10 yards (tackle by Andre Holmes). Penalty on Logan Thomas: Offensive Holding, 10 yards",-2.470,-3.050
1,10:53,1,10,BUF 38,0,0,Philip Rivers pass complete short middle to Virgil Green for 25 yards (tackle by Micah Hyde),3.050,4.710
1,10:13,1,10,BUF 13,0,0,Melvin Gordon up the middle for 3 yards (tackle by Jordan Poyer),4.710,4.580
1,9:32,2,7,BUF 10,6,0,"Philip Rivers pass complete short middle to Mike Williams for 10 yards, touchdown, touchdown",4.580,7.000
1,9:26,,,BUF 15,7,0,Caleb Sturgis kicks extra point good,0.000,0.000
1,9:26,,,LAC 35,7,0,"Caleb Sturgis kicks off 62 yards, returned by Marcus Murphy for no gain (tackle by Brandon Facyson and Adrian Phillips)",0.000,0.610
1,9:20,1,10,BUF 25,7,0,Josh Allen pass complete short left to LeSean McCoy for 6 yards (tackle by Derwin James),0.610,0.870
1,8:43,2,4,BUF 31,7,0,Josh Allen up the middle for -6 yards (tackle by Derwin James),0.870,-0.620
1,7:58,3,10,BUF 25,7,0,Josh Allen pass incomplete deep left intended for Kelvin Benjamin,-0.620,-1.700
1,7:53,4,10,BUF 25,7,0,"Corey Bojorquez punts 42 yards, returned by JJ Jones for 6 yards (tackle by Logan Thomas)",-1.700,-1.530
1,7:42,1,10,LAC 39,7,0,Philip Rivers pass complete short left to Austin Ekeler for 10 yards (tackle by Tremaine Edmunds),1.530,2.190
1,7:13,1,10,LAC 49,7,0,Austin Ekeler right end for 16 yards (tackle by Ramon Humber and Jordan Poyer),2.190,3.250
1,6:32,1,10,BUF 35,7,0,Melvin Gordon right guard for no gain (tackle by Phillip Gaines and Harrison Phillips),3.250,2.700
1,5:49,2,10,BUF 35,7,0,Melvin Gordon right guard for -2 yards (tackle by Jordan Poyer),2.700,1.750
1,5:07,3,12,BUF 37,7,0,Philip Rivers pass complete deep middle to Mike Williams for 17 yards (tackle by TreDavious White),1.750,4.240
1,4:24,1,10,BUF 20,13,0,"Melvin Gordon left tackle for 20 yards, touchdown",4.240,7.000
1,4:18,,,BUF 15,14,0,Caleb Sturgis kicks extra point good,0.000,0.000
1,4:18,,,LAC 35,14,0,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
1,4:18,1,10,BUF 25,14,0,Josh Allen pass complete short left to LeSean McCoy for 9 yards (tackle by Kyzir White),0.610,1.280
1,3:44,2,1,BUF 34,14,0,Josh Allen right end for 3 yards (tackle by Isaac Rochell),1.280,1.400
1,3:09,1,10,BUF 37,14,0,LeSean McCoy left guard for 5 yards (tackle by Kyzir White),1.400,1.530
1,2:35,2,5,BUF 42,14,0,Josh Allen pass complete short middle to Robert Foster for 11 yards (tackle by Denzel Perryman),1.530,2.460
1,1:59,1,10,LAC 47,14,0,Josh Allen pass incomplete short right intended for Jason Croom (defended by Kyzir White),2.460,1.910
1,1:54,2,10,LAC 47,14,0,"LeSean McCoy right end for no gain (tackle by Kyzir White). Penalty on Jordan Mills: Offensive Holding, 10 yards (no play)",1.910,0.560
1,1:23,2,20,BUF 43,14,0,Josh Allen pass incomplete short left intended for Marcus Murphy,0.560,-0.100
1,1:17,3,20,BUF 43,14,0,"Josh Allen pass incomplete short right intended for Andre Holmes. Penalty on Desmond King: Taunting, 15 yards",-0.100,2.790
1,1:11,1,10,LAC 42,14,0,Josh Allen pass complete deep left to Charles Clay for 21 yards (tackle by Jahleel Addae),2.790,4.170
1,0:34,1,10,LAC 21,14,0,LeSean McCoy up the middle for no gain (tackle by Brandon Mebane),4.170,3.630
Quarter,Time,Down,ToGo,Location,LAC,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,LAC 21,14,0,Josh Allen sacked by Damion Square and Melvin Ingram for -11 yards,3.630,1.490
2,14:26,3,21,LAC 32,14,0,Josh Allen pass complete short right to LeSean McCoy for 8 yards (tackle by Jatavis Brown),1.490,1.870
2,13:42,4,13,LAC 24,14,3,Stephen Hauschka 43 yard field goal good,1.870,3.000
2,13:38,,,BUF 35,14,3,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
2,13:38,1,10,LAC 25,14,3,Austin Ekeler left tackle for 22 yards (tackle by Lorenzo Alexander and Micah Hyde),0.610,2.060
2,12:53,1,10,LAC 47,14,3,Philip Rivers pass complete short right to Virgil Green for 23 yards (tackle by TreDavious White and Lorenzo Alexander),2.060,3.580
2,12:14,1,10,BUF 30,14,3,Austin Ekeler left end for 16 yards (tackle by Matt Milano and Trent Murphy),3.580,4.650
2,11:31,1,10,BUF 14,14,3,Melvin Gordon left tackle for 5 yards (tackle by Eddie Yarbrough and Matt Milano),4.650,4.900
2,10:49,2,5,BUF 9,20,3,"Philip Rivers pass complete short right to Melvin Gordon for 9 yards, touchdown",4.900,7.000
2,10:43,,,BUF 15,21,3,Caleb Sturgis kicks extra point good,0.000,0.000
2,10:43,,,LAC 35,21,3,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
2,10:43,1,10,BUF 25,21,3,Josh Allen pass complete short left to Zay Jones for 6 yards (tackle by Desmond King),0.610,0.870
2,10:07,2,4,BUF 31,21,3,Marcus Murphy left tackle for 2 yards (tackle by Isaac Rochell and Brandon Mebane),0.870,0.430
2,9:31,3,2,BUF 33,21,3,Marcus Murphy right guard for -1 yards (tackle by Denzel Perryman and Darius Philon),0.430,-1.240
2,8:57,4,3,BUF 32,21,3,"Corey Bojorquez punts 50 yards, returned by JJ Jones for 1 yard (tackle by Ramon Humber)",-1.240,-0.150
2,8:41,1,10,LAC 19,21,3,Philip Rivers pass incomplete short middle intended for Melvin Gordon,0.150,-0.390
2,8:36,2,10,LAC 19,21,3,Philip Rivers pass complete short right to Keenan Allen for 11 yards (tackle by Jordan Poyer),-0.390,0.940
2,7:59,1,10,LAC 30,21,3,Melvin Gordon right guard for 3 yards (tackle by Matt Milano and Rafael Bush),0.940,0.800
2,7:15,2,7,LAC 33,21,3,Philip Rivers pass complete short middle to Tyrell Williams for 8 yards (tackle by Rafael Bush),0.800,1.660
2,6:38,1,10,LAC 41,21,3,"Philip Rivers pass complete short left to Tyrell Williams for 22 yards (tackle by Jordan Poyer). Tyrell Williams fumbles (forced by Jordan Poyer), recovered by Tyrell Williams at BUF-37",1.660,3.120
2,6:27,1,10,BUF 37,21,3,Philip Rivers pass complete short right to Melvin Gordon for 7 yards (tackle by Tremaine Edmunds and Rafael Bush),3.120,3.520
2,5:42,2,3,BUF 30,21,3,Philip Rivers pass complete short left to Melvin Gordon for 10 yards (tackle by Jerry Hughes),3.520,4.240
2,4:56,1,10,BUF 20,21,3,Austin Ekeler right tackle for 3 yards (tackle by Tremaine Edmunds),4.240,4.120
2,4:15,2,7,BUF 17,21,3,Philip Rivers pass complete short middle to Keenan Allen for 14 yards (tackle by Micah Hyde),4.120,6.510
2,3:30,1,3,BUF 3,21,3,Philip Rivers up the middle for -2 yards (tackle by Trent Murphy and Eddie Yarbrough),6.510,5.150
2,2:48,,,,,,Timeout #1 by Los Angeles Chargers,,
2,2:48,2,5,BUF 5,21,3,"Penalty on Sam Tevi: False Start, 5 yards (no play)",5.150,4.190
2,2:48,2,10,BUF 10,21,3,Philip Rivers pass complete short middle to Melvin Gordon for 8 yards (tackle by Tremaine Edmunds and Matt Milano),4.190,4.950
2,2:00,3,2,BUF 2,27,3,"Philip Rivers pass complete short left to Melvin Gordon for 2 yards, touchdown",4.950,7.000
2,1:55,,,BUF 15,28,3,Caleb Sturgis kicks extra point good,0.000,0.000
2,1:55,,,LAC 35,28,3,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
2,1:55,1,10,BUF 25,28,3,Josh Allen pass incomplete deep middle intended for Charles Clay (defended by Derwin James),0.610,0.060
2,1:49,2,10,BUF 25,28,3,Josh Allen pass complete deep left to Zay Jones for 57 yards (tackle by Jahleel Addae),0.060,4.370
2,1:12,1,10,LAC 18,28,3,Josh Allen pass incomplete deep right intended for Andre Holmes,4.370,3.800
2,1:05,,,,,,Timeout #2 by Los Angeles Chargers,,
2,1:05,2,10,LAC 18,28,3,"Penalty on Dion Dawkins: False Start, 5 yards (no play)",3.800,3.150
2,1:05,2,15,LAC 23,28,3,Josh Allen pass complete short left to Charles Clay for 8 yards (tackle by Adrian Phillips),3.150,3.460
2,0:59,3,7,LAC 15,28,3,Josh Allen sacked by Melvin Ingram for -8 yards,3.460,1.930
2,0:52,4,15,LAC 23,28,6,Stephen Hauschka 41 yard field goal good,1.930,3.000
2,0:47,,,BUF 35,28,6,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
2,0:47,1,10,LAC 25,28,6,Austin Ekeler up the middle for 5 yards (tackle by Trent Murphy),0.610,0.740
2,0:29,2,5,LAC 30,28,6,Austin Ekeler left guard for 10 yards (tackle by Lorenzo Alexander and Tremaine Edmunds),0.740,1.600
Quarter,Time,Down,ToGo,Location,LAC,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,28,6,"Caleb Sturgis kicks off 66 yards, returned by Marcus Murphy for no gain (tackle by Adrian Phillips)",0.000,0.610
3,14:53,1,10,BUF 25,28,6,LeSean McCoy up the middle for no gain (tackle by Melvin Ingram),0.610,0.060
3,14:20,2,10,BUF 25,28,6,LeSean McCoy right tackle for 27 yards (tackle by Derwin James),0.060,2.390
3,13:48,1,10,LAC 48,28,6,Josh Allen pass complete deep right to Patrick DiMarco for 24 yards (tackle by Jahleel Addae),2.390,3.970
3,13:12,1,10,LAC 24,28,6,Josh Allen left tackle for 4 yards (tackle by Jahleel Addae),3.970,3.970
3,12:35,2,6,LAC 20,28,6,Josh Allen left tackle for 14 yards (tackle by Jahleel Addae),3.970,5.830
3,11:56,1,6,LAC 6,28,6,Josh Allen left tackle for 5 yards (tackle by Kyzir White and Justin Jones),5.830,5.910
3,11:15,2,1,LAC 1,28,6,Josh Allen pass incomplete short right intended for Charles Clay (defended by Jahleel Addae). Penalty on Melvin Ingram: Horse Collar Tackle (no play),5.910,6.970
3,11:08,1,1,LAC 1,28,12,"Chris Ivory up the middle for 1 yard, touchdown",6.970,7.000
3,11:06,,,LAC 15,28,13,Stephen Hauschka kicks extra point good,0.000,0.000
3,11:06,,,BUF 35,28,13,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
3,11:06,1,10,LAC 25,28,13,Philip Rivers pass complete short middle to Keenan Allen for 4 yards (tackle by Tremaine Edmunds),0.610,0.600
3,10:26,2,6,LAC 29,28,13,Austin Ekeler right guard for no gain (tackle by Jerry Hughes),0.600,-0.100
3,9:43,3,6,LAC 29,28,13,"Philip Rivers sacked by Lorenzo Alexander and Trent Murphy for no gain. Penalty on Jerry Hughes: Defensive Offside, 5 yards (no play)",-0.100,0.560
3,9:13,,,,,,Timeout #1 by Los Angeles Chargers,,
