Quarter,Time,Tm,Detail,KAN,OAK
1.0,12:42,Raiders,Justin Fargas 1 yard rush (Sebastian Janikowski kick),0,7
,4:49,Chiefs,Ryan Succop 50 yard field goal,3,7
,2:10,Raiders,Sebastian Janikowski 50 yard field goal,3,10
2.0,12:25,Chiefs,Jamaal Charles 44 yard rush (Ryan Succop kick),10,10
,6:48,Chiefs,Ryan Succop 25 yard field goal,13,10
4.0,6:17,Chiefs,Ryan Succop 31 yard field goal,16,10
