Unnamed: 0,KAN,OAK
First Downs,14,11
Rush-Yds-TDs,31-112-1,30-182-1
Cmp-Att-Yd-TD-INT,19-34-216-0-1,13-32-113-0-2
Sacked-Yards,2-10,2-23
Net Pass Yards,206,90
Total Yards,318,272
Fumbles-Lost,4-2,0-0
Turnovers,3,2
Penalties-Yards,5-35,10-88
Third Down Conv.,1-15,2-16
Fourth Down Conv.,1-2,0-0
Time of Possession,28:54,31:06
