Quarter,Time,Tm,Detail,OAK,CLE
1.0,13:32,Browns,Jerome Harrison 17 yard rush (Phil Dawson kick),0,7
,8:16,Browns,Phil Dawson 42 yard field goal,0,10
,2:48,Raiders,Sebastian Janikowski 44 yard field goal,3,10
2.0,11:12,Raiders,Sebastian Janikowski 34 yard field goal,6,10
,0:18,Browns,Mohamed Massaquoi 19 yard pass from Derek Anderson (Phil Dawson kick),6,17
,0:00,Raiders,Sebastian Janikowski 61 yard field goal,9,17
3.0,11:07,Browns,Phil Dawson 33 yard field goal,9,20
4.0,8:31,Browns,Phil Dawson 34 yard field goal,9,23
