Quarter,Time,Down,ToGo,Location,OAK,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,OAK 20,0,0,Darren McFadden right guard for 4 yards (tackle by Matt Roth and Jason Trusnik),0.280,0.270
1,14:22,2,6,OAK 24,0,0,Charlie Frye pass incomplete short left intended for Darren McFadden is intercepted by David Bowens at OAK-32 and returned for 15 yards,0.270,-4.440
1,14:15,1,10,OAK 17,0,0,Jerome Harrison right tackle for no gain (tackle by Thomas Howard),4.440,3.850
1,13:38,2,10,OAK 17,0,6,"Jerome Harrison left guard for 17 yards, touchdown",3.850,7.000
1,,,,OAK 2,0,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,0,7,"Phil Dawson kicks off 67 yards, returned by Marcel Reece for 23 yards (tackle by Marcus Benard)",0.000,0.670
1,13:26,1,10,OAK 26,0,7,Darren McFadden right guard for 4 yards (tackle by Kamerion Wimbley),0.670,0.670
1,12:55,2,6,OAK 30,0,7,Charlie Frye pass incomplete deep right intended for Chaz Schilens,0.670,-0.030
1,12:49,3,6,OAK 30,0,7,Charlie Frye pass incomplete deep left intended for Chaz Schilens,-0.030,-1.370
1,12:43,4,6,OAK 30,0,7,"Shane Lechler punts 53 yards, returned by Josh Cribbs for 14 yards (tackle by Slade Norris)",-1.370,-1.000
1,12:31,1,10,CLE 31,0,7,Jerome Harrison left tackle for -8 yards (tackle by Matt Shaughnessy),1.000,-0.620
1,11:56,2,18,CLE 23,0,7,Derek Anderson pass complete short right to Evan Moore for 19 yards (tackle by Michael Huff),-0.620,1.730
1,11:15,1,10,CLE 42,0,7,Derek Anderson pass incomplete short left intended for Lawrence Vickers,1.730,1.190
1,11:10,2,10,CLE 42,0,7,Jerome Harrison right tackle for 9 yards (tackle by Hiram Eugene),1.190,1.690
1,10:28,3,1,OAK 49,0,7,Jerome Harrison right guard for 10 yards (tackle by Kirk Morrison),1.690,2.980
1,9:53,1,10,OAK 39,0,7,Jerome Harrison left guard for 12 yards (tackle by Hiram Eugene and Tyvon Branch),2.980,3.780
1,9:10,1,10,OAK 27,0,7,Derek Anderson pass incomplete deep middle intended for Chansi Stuckey,3.780,3.230
1,9:05,2,10,OAK 27,0,7,Derek Anderson pass incomplete short left intended for Chris Jennings,3.230,2.540
1,9:00,3,10,OAK 27,0,7,Derek Anderson pass complete short right to Brian Robiskie for 3 yards (tackle by Chris Johnson),2.540,1.870
1,8:22,4,7,OAK 24,0,10,Phil Dawson 42 yard field goal good,1.870,3.000
1,,,,CLE 30,0,10,"Phil Dawson kicks off 64 yards, returned by Gary Russell for 20 yards (tackle by Nick Sorensen)",0.000,0.670
1,8:06,1,10,OAK 26,0,10,Charlie Frye pass complete short left to Darren McFadden for 15 yards (tackle by Abram Elam),0.670,1.660
1,7:24,1,10,OAK 41,0,10,Michael Bush left guard for 4 yards (tackle by Ahtyba Rubin and Mike Adams),1.660,1.660
1,6:45,2,6,OAK 45,0,10,Charlie Frye pass complete short right to Zach Miller for 3 yards (tackle by Abram Elam),1.660,1.360
1,6:00,3,3,OAK 48,0,10,Charlie Frye pass complete short middle to Chaz Schilens for 16 yards (tackle by Jason Trusnik),1.360,3.180
1,5:21,1,10,CLE 36,0,10,Michael Bush left tackle for 14 yards (tackle by Mike Furrey),3.180,4.110
1,4:44,1,10,CLE 22,0,10,Michael Bush left guard for 2 yards (tackle by Ahtyba Rubin and Robaire Smith),4.110,3.830
1,4:04,2,8,CLE 20,0,10,Charlie Frye pass complete short right to Zach Miller for 4 yards (tackle by Mike Furrey),3.830,3.740
1,3:21,3,4,CLE 16,0,10,"Charlie Frye pass complete short left to Louis Murphy for 14 yards (tackle by Mike Adams). Penalty on Cornell Green: Offensive Holding, 10 yards (no play)",3.740,2.350
1,2:59,3,14,CLE 26,0,10,Charlie Frye pass incomplete deep right intended for Chaz Schilens (defended by Mike Adams),2.350,1.740
1,2:53,4,14,CLE 26,3,10,Sebastian Janikowski 44 yard field goal good,1.740,3.000
1,,,,OAK 30,3,10,Sebastian Janikowski kicks off 45 yards,0.000,0.610
1,2:47,1,10,CLE 25,3,10,Chris Jennings left guard for -5 yards (tackle by Tommy Kelly),0.610,-0.610
1,2:15,2,15,CLE 20,3,10,Josh Cribbs right tackle for -1 yards (tackle by Matt Shaughnessy),-0.610,-1.510
1,1:32,3,16,CLE 19,3,10,Derek Anderson sacked by Gerard Warren for -2 yards,-1.510,-2.320
