Unnamed: 0,OAK,CLE
First Downs,19,16
Rush-Yds-TDs,19-88-0,46-164-1
Cmp-Att-Yd-TD-INT,26-45-333-0-3,8-17-121-1-0
Sacked-Yards,4-32,2-3
Net Pass Yards,301,118
Total Yards,389,282
Fumbles-Lost,1-0,1-1
Turnovers,3,1
Penalties-Yards,13-126,6-64
Third Down Conv.,3-13,6-16
Fourth Down Conv.,0-2,0-0
Time of Possession,29:38,30:22
