Unnamed: 0,MIN,DEN
First Downs,19,13
Rush-Yds-TDs,36-175-1,15-46-0
Cmp-Att-Yd-TD-INT,20-32-221-1-1,27-35-259-1-0
Sacked-Yards,2-11,2-10
Net Pass Yards,210,249
Total Yards,385,295
Fumbles-Lost,4-2,1-0
Turnovers,3,0
Penalties-Yards,6-55,4-48
Third Down Conv.,6-15,2-12
Fourth Down Conv.,3-4,1-1
Time of Possession,34:58,25:02
