Quarter,Time,Tm,Detail,MIN,DEN
1.0,10:28,Broncos,Wil Lutz 31 yard field goal,0,3
2.0,14:53,Vikings,Josh Oliver 3 yard pass from Joshua Dobbs (Greg Joseph kick),7,3
,8:09,Vikings,Greg Joseph 34 yard field goal,10,3
,4:08,Broncos,Wil Lutz 31 yard field goal,10,6
,0:00,Broncos,Wil Lutz 52 yard field goal,10,9
3.0,7:55,Vikings,Joshua Dobbs 10 yard rush (Greg Joseph kick),17,9
4.0,12:40,Broncos,Wil Lutz 37 yard field goal,17,12
,10:37,Broncos,Wil Lutz 28 yard field goal,17,15
,3:17,Vikings,Greg Joseph 30 yard field goal,20,15
,1:03,Broncos,Courtland Sutton 15 yard pass from Russell Wilson (run failed),20,21
