Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
2,11:32,2,4,DEN 41,7,3,Ty Chandler right tackle for 2 yards (tackle by Jonathan Harris),2.720,2.280
2,10:52,3,2,DEN 39,7,3,Joshua Dobbs pass complete deep right to T.J. Hockenson for 29 yards (tackle by Kareem Jackson),2.280,4.910
2,10:07,1,10,DEN 10,7,3,Joshua Dobbs pass complete short middle to Ty Chandler for 7 yards (tackle by Kareem Jackson and Alex Singleton),4.910,5.530
2,9:29,2,3,DEN 3,7,3,Alexander Mattison left guard for -2 yards (tackle by Jonathon Cooper and Jonathan Harris),5.530,4.260
2,8:55,3,5,DEN 5,7,3,Joshua Dobbs sacked by Jonathon Cooper for -11 yards,4.260,2.380
2,8:13,4,16,DEN 16,10,3,Greg Joseph 34 yard field goal good,2.380,3.000
2,8:09,,,MIN 35,10,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,8:09,1,10,DEN 25,10,3,Russell Wilson pass complete deep right to Jerry Jeudy for 19 yards (tackle by Mekhi Blackmon),0.610,1.860
2,7:32,1,10,DEN 44,10,3,Javonte Williams up the middle for 3 yards (tackle by Harrison Phillips and Ivan Pace),1.860,1.720
2,6:54,2,7,DEN 47,10,3,Russell Wilson pass complete deep left to Courtland Sutton for 33 yards (tackle by Mekhi Blackmon),1.720,4.240
2,6:13,1,10,MIN 20,10,3,Javonte Williams left tackle for 4 yards (tackle by Camryn Bynum),4.240,4.280
2,5:38,2,6,MIN 16,10,3,Russell Wilson pass complete short right to Jaleel McLaughlin for -1 yards (tackle by Mekhi Blackmon),4.280,3.360
2,4:54,3,7,MIN 17,10,3,Russell Wilson pass complete short left to Jerry Jeudy for 5 yards (tackle by Anthony Barr and Josh Metellus),3.360,2.760
2,4:11,4,2,MIN 12,10,6,Wil Lutz 31 yard field goal good,2.760,3.000
2,4:08,,,DEN 35,10,6,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,4:08,1,10,MIN 25,10,6,Alexander Mattison left guard for 2 yards (tackle by Zach Allen),0.610,0.330
2,3:27,2,8,MIN 27,10,6,"Joshua Dobbs aborted snap, recovered by Joshua Dobbs at MIN-26 and returned for -1 yards",0.330,-0.490
2,2:36,3,9,MIN 26,10,6,"Joshua Dobbs pass complete deep middle to Jordan Addison for 17 yards (tackle by Patrick Surtain). Penalty on Ja'Quan McMillian: Illegal Contact, 5 yards (declined)",-0.490,1.800
2,2:28,1,10,MIN 43,10,6,"Joshua Dobbs pass complete short right to T.J. Hockenson for no gain (tackle by Jonathon Cooper). Penalty on Ed Ingram: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.800,1.470
2,2:08,1,15,MIN 38,10,6,Joshua Dobbs pass complete short middle to T.J. Hockenson for 11 yards (tackle by Alex Singleton),1.470,2.060
2,2:00,2,4,MIN 49,10,6,Alexander Mattison left guard for 3 yards (tackle by Alex Singleton),2.060,1.750
2,1:24,3,1,DEN 48,10,6,Joshua Dobbs pass incomplete short left intended for Alexander Mattison,1.750,0.070
2,1:19,4,1,DEN 48,10,6,"Ryan Wright punts 48 yards, touchback.",0.070,-0.280
2,1:11,1,10,DEN 20,10,6,Russell Wilson pass complete short middle to Marvin Mims for 8 yards (tackle by Troy Dye),0.280,0.810
2,0:53,2,2,DEN 28,10,6,Russell Wilson pass complete deep middle to Adam Trautman for 19 yards (tackle by Harrison Smith),0.810,2.060
2,0:47,,,,,,Timeout #1 by Denver Broncos,,
2,0:47,1,10,DEN 47,10,6,Russell Wilson pass complete short middle to Adam Trautman for 14 yards (tackle by Camryn Bynum),2.060,2.980
2,0:24,1,10,MIN 39,10,6,Russell Wilson pass complete short middle to Samaje Perine for 5 yards (tackle by Ivan Pace and Josh Metellus),2.980,3.120
2,0:17,,,,,,Timeout #2 by Denver Broncos,,
2,0:17,2,5,MIN 34,10,6,Russell Wilson pass incomplete short right,3.120,2.410
2,0:11,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:11,3,5,MIN 34,10,6,Russell Wilson pass incomplete deep middle intended for Jerry Jeudy (defended by Josh Metellus),2.410,1.070
2,0:05,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:05,4,5,MIN 34,10,9,Wil Lutz 52 yard field goal good,1.070,3.000
Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,10,9,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,10,9,Javonte Williams right tackle for -1 yards (tackle by Harrison Phillips),0.610,-0.070
3,14:22,2,11,DEN 24,10,9,"Russell Wilson pass complete short left to Marvin Mims for 4 yards (tackle by Harrison Smith). Penalty on Nate Adkins: Offensive Holding, 10 yards (accepted)",-0.070,-0.980
3,13:58,2,17,DEN 18,10,9,Russell Wilson pass complete short left to Jaleel McLaughlin for -3 yards (tackle by Danielle Hunter),-0.980,-2.350
3,13:17,3,20,DEN 15,10,9,Russell Wilson pass complete short right to Samaje Perine for 8 yards (tackle by Mekhi Blackmon and Theo Jackson),-2.350,-1.830
3,12:41,4,12,DEN 23,10,9,"Riley Dixon punts 57 yards, returned by Brandon Powell for 11 yards (tackle by Delarrin Turner-Yell)",-1.830,-1.000
3,12:33,1,10,MIN 31,10,9,Alexander Mattison left guard for 9 yards (tackle by Kareem Jackson and Alex Singleton),1.000,1.680
3,11:58,2,1,MIN 40,10,9,Joshua Dobbs pass complete deep right to Jordan Addison for 18 yards (tackle by Justin Simmons),1.680,2.790
3,11:20,1,10,DEN 42,10,9,Alexander Mattison left tackle for 7 yards (tackle by Alex Singleton),2.790,3.190
3,10:54,2,3,DEN 35,10,9,Alexander Mattison left tackle for 7 yards (tackle by Kareem Jackson),3.190,3.710
3,10:11,1,10,DEN 28,10,9,Joshua Dobbs pass complete short right to Ty Chandler for 2 yards (tackle by Josey Jewell),3.710,3.440
3,9:25,2,8,DEN 26,10,9,"Penalty on Brandon Powell: False Start, 5 yards (accepted) (no play)",3.440,2.760
3,9:09,2,13,DEN 31,10,9,Joshua Dobbs pass incomplete deep left intended for Jordan Addison,2.760,2.080
3,9:03,3,13,DEN 31,10,9,"Joshua Dobbs pass deep left is intercepted by Patrick Surtain at DEN-15 and returned for no gain (tackle by Ty Chandler). Penalty on Patrick Surtain: Defensive Pass Interference, 19 yards (accepted) (no play)",2.080,4.780
3,8:46,1,10,DEN 12,10,9,Alexander Mattison up the middle for 2 yards (tackle by Matt Henningsen),4.780,4.450
3,8:06,2,8,DEN 10,10,9,Joshua Dobbs pass incomplete short middle intended for Jordan Addison,4.450,3.480
3,8:01,3,8,DEN 10,16,9,"Joshua Dobbs scrambles left end for 10 yards, touchdown",3.480,7.000
3,7:55,,,DEN 15,17,9,Greg Joseph kicks extra point good,0.000,0.000
3,7:55,,,MIN 35,17,9,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,7:55,1,10,DEN 25,17,9,Russell Wilson pass complete short left to Jaleel McLaughlin for 1 yard (tackle by Harrison Smith),0.610,0.200
3,7:21,2,9,DEN 26,17,9,Javonte Williams right end for 6 yards (tackle by Danielle Hunter and Harrison Smith),0.200,0.300
3,6:38,3,3,DEN 32,17,9,Russell Wilson pass incomplete deep left intended for Marvin Mims,0.300,-1.240
3,6:31,4,3,DEN 32,17,9,"Riley Dixon punts 68 yards, touchback.",-1.240,-0.280
3,6:23,1,10,MIN 20,17,9,Ty Chandler up the middle for 5 yards (tackle by Zach Allen),0.280,0.410
3,5:42,2,5,MIN 25,17,9,Joshua Dobbs pass complete deep middle to Josh Oliver for 29 yards (tackle by Kareem Jackson),0.410,2.520
3,5:01,1,10,DEN 46,17,9,Ty Chandler right tackle for 7 yards (tackle by Josey Jewell),2.520,2.920
3,4:21,2,3,DEN 39,17,9,Joshua Dobbs scrambles right guard for 1 yard (tackle by Matt Henningsen),2.920,2.350
3,3:37,3,2,DEN 38,17,9,Joshua Dobbs pass complete short middle to Brandon Powell for 4 yards (tackle by Kareem Jackson),2.350,3.310
3,2:51,1,10,DEN 34,17,9,"Alexander Mattison up the middle for no gain. Alexander Mattison fumbles (forced by D.J. Jones), recovered by Josey Jewell at DEN-34. Penalty on Dalton Risner: Offensive Holding, 10 yards (declined)",3.310,-1.200
3,2:48,1,10,DEN 34,17,9,Javonte Williams right end for 15 yards (tackle by Camryn Bynum),1.200,2.190
3,2:08,1,10,DEN 49,17,9,Russell Wilson pass complete short left to Jerry Jeudy for 19 yards (tackle by Mekhi Blackmon and Camryn Bynum),2.190,3.450
3,1:30,1,10,MIN 32,17,9,Jaleel McLaughlin left tackle for 1 yard (tackle by Jonathan Bullard and Harrison Phillips),3.450,3.040
3,0:52,2,9,MIN 31,17,9,Russell Wilson pass complete short right to Jaleel McLaughlin for 8 yards (tackle by Ivan Pace),3.040,3.400
3,0:13,3,1,MIN 23,17,9,Russell Wilson right guard for 2 yards (tackle by Khyiris Tonga),3.400,4.170
Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 21,17,9,Russell Wilson pass complete short left to Jerry Jeudy for 9 yards (tackle by Mekhi Blackmon),4.170,5.160
4,14:23,2,1,MIN 12,17,9,Javonte Williams right guard for no gain (tackle by Khyiris Tonga),5.160,4.490
4,13:44,3,1,MIN 12,17,9,"Russell Wilson right guard for no gain (tackle by Harrison Phillips). Penalty on Garett Bolles: Illegal Formation, 4 yards (accepted) (no play)",4.490,3.630
4,13:22,3,5,MIN 16,17,9,Russell Wilson sacked by D.J. Wonnum for -3 yards,3.630,2.180
4,12:44,4,8,MIN 19,17,12,Wil Lutz 37 yard field goal good,2.180,3.000
4,12:40,,,DEN 35,17,12,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,12:40,1,10,MIN 25,17,12,"Joshua Dobbs pass incomplete short right intended for Ty Chandler. Penalty on K.J. Osborn: Offensive Pass Interference, 10 yards (accepted) (no play)",0.610,-0.410
4,12:37,1,20,MIN 15,17,12,Joshua Dobbs pass short right intended for Brandon Powell is intercepted by Ja'Quan McMillian at MIN-18 and returned for 9 yards (tackle by Ty Chandler),-0.410,-5.140
4,12:30,1,9,MIN 9,17,12,Javonte Williams right tackle for 1 yard (tackle by Ivan Pace and Camryn Bynum),5.140,4.570
4,11:53,2,8,MIN 8,17,12,"Russell Wilson pass complete short left to Marvin Mims for no gain (tackle by Mekhi Blackmon). Penalty on Marvin Mims: Offensive Facemask, 15 yards (accepted) (no play)",4.570,2.600
4,11:30,2,23,MIN 23,17,12,Russell Wilson pass complete short left to Javonte Williams for 13 yards (tackle by Byron Murphy and Theo Jackson),2.600,3.130
4,10:45,3,10,MIN 10,17,12,Russell Wilson pass incomplete short left intended for Jerry Jeudy (defended by Joejuan Williams),3.130,2.760
4,10:40,4,10,MIN 10,17,15,Wil Lutz 28 yard field goal good,2.760,3.000
4,10:37,,,DEN 35,17,15,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,10:37,1,10,MIN 25,17,15,Alexander Mattison left end for 5 yards (tackle by Fabian Moreau and Alex Singleton),0.610,0.740
4,10:03,2,5,MIN 30,17,15,Alexander Mattison up the middle for 1 yard (tackle by Ja'Quan McMillian and Josey Jewell),0.740,0.170
4,9:32,3,4,MIN 31,17,15,Joshua Dobbs pass incomplete short middle intended for Jordan Addison (defended by Patrick Surtain),0.170,-1.310
4,9:25,4,4,MIN 31,17,15,Ty Chandler right end for 31 yards (tackle by Riley Moss and Damarri Mathis),-1.310,3.050
4,8:31,1,10,DEN 38,17,15,"Alexander Mattison left end for no gain (tackle by Jonathon Cooper). Penalty on Dalton Risner: Offensive Holding, 10 yards (accepted) (no play)",3.050,2.390
4,8:17,1,20,DEN 48,17,15,Joshua Dobbs pass complete short left to Alexander Mattison for -1 yards (tackle by Zach Allen and Jonathan Harris),2.390,1.020
4,7:47,2,21,DEN 49,17,15,Joshua Dobbs scrambles left end for 1 yard (tackle by Baron Browning),1.020,0.500
4,7:13,3,20,DEN 48,17,15,"Joshua Dobbs pass complete short left to Ty Chandler for 22 yards (tackle by Alex Singleton) DEN challenged the first down ruling, and the original play was overturned. Joshua Dobbs pass complete short left to Ty Chandler for 19 yards (tackle by Alex Singleton)",0.500,1.620
4,6:55,4,1,DEN 29,17,15,Joshua Dobbs up the middle for 2 yards (tackle by Alex Singleton),1.620,3.780
4,6:14,1,10,DEN 27,17,15,Joshua Dobbs pass complete short middle to T.J. Hockenson for 4 yards (tackle by Josey Jewell),3.780,3.770
4,5:31,2,6,DEN 23,17,15,Joshua Dobbs pass complete short left to T.J. Hockenson for 11 yards (tackle by Justin Simmons),3.770,4.780
4,4:47,1,10,DEN 12,17,15,Alexander Mattison right tackle for no gain (tackle by Kareem Jackson and Zach Allen),4.780,4.100
4,4:08,2,10,DEN 12,17,15,Ty Chandler left tackle for no gain (tackle by Jonathan Harris and Alex Singleton),4.100,3.120
4,3:26,3,10,DEN 12,17,15,Joshua Dobbs pass incomplete short right,3.120,2.630
4,3:20,4,10,DEN 12,20,15,Greg Joseph 30 yard field goal good,2.630,3.000
4,3:17,,,MIN 35,20,15,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
4,3:17,1,10,DEN 25,20,15,Javonte Williams left end for no gain (tackle by D.J. Wonnum),0.610,0.060
4,3:12,2,10,DEN 25,20,15,Russell Wilson pass incomplete deep right intended for Lil'Jordan Humphrey,0.060,-0.620
4,3:07,3,10,DEN 25,20,15,Samaje Perine right guard for 7 yards (tackle by Patrick Jones),-0.620,-1.240
4,2:27,4,3,DEN 32,20,15,"Russell Wilson pass complete short left to Courtland Sutton for 13 yards (tackle by Ivan Pace). Penalty on Ivan Pace: Defensive Pass Interference, 14 yards (declined)",-1.240,1.930
4,2:19,1,10,DEN 45,20,15,Russell Wilson pass complete short middle to Samaje Perine for 10 yards (tackle by Josh Metellus),1.930,2.590
4,2:00,1,10,MIN 45,20,15,Russell Wilson pass complete short middle to Samaje Perine for 17 yards (tackle by Josh Metellus and Camryn Bynum),2.590,3.710
4,1:31,1,10,MIN 28,20,15,Russell Wilson pass complete short right to Samaje Perine for 6 yards (tackle by Ivan Pace). Samaje Perine fumbles (forced by Ivan Pace),3.710,3.980
4,1:21,,,,,,Timeout #1 by Denver Broncos,,
4,1:21,2,4,MIN 22,20,15,Russell Wilson pass incomplete deep left,3.980,3.270
4,1:15,3,4,MIN 22,20,15,Russell Wilson pass complete short right to Samaje Perine for 7 yards (tackle by Joejuan Williams),3.270,4.580
4,1:09,1,10,MIN 15,20,21,"Russell Wilson pass complete short left to Courtland Sutton for 15 yards, touchdown",4.580,7.000
4,1:03,,,,,,Timeout #2 by Denver Broncos,,
4,1:03,,,MIN 2,20,21,"Two Point Attempt: Javonte Williams rushes, conversion fails.",1.000,-1.000
4,1:03,,,DEN 35,20,21,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,1:03,1,10,MIN 25,20,21,Joshua Dobbs pass incomplete short right intended for T.J. Hockenson (defended by Justin Simmons),0.610,0.060
4,0:58,2,10,MIN 25,20,21,Joshua Dobbs pass complete short left to Jordan Addison for 9 yards,0.060,0.560
4,0:54,3,1,MIN 34,20,21,Joshua Dobbs sacked by Baron Browning for no gain,0.560,-1.110
4,0:43,,,,,,Timeout #1 by Minnesota Vikings,,
4,0:43,4,1,MIN 34,20,21,Joshua Dobbs up the middle for 2 yards (tackle by Alex Singleton),-1.110,1.330
4,0:41,,,,,,Timeout #2 by Minnesota Vikings,,
4,0:41,1,10,MIN 36,20,21,Joshua Dobbs pass incomplete short right intended for T.J. Hockenson (defended by Justin Simmons),1.330,0.790
4,0:36,2,10,MIN 36,20,21,Joshua Dobbs pass incomplete short right,0.790,0.100
4,0:28,3,10,MIN 36,20,21,"Joshua Dobbs pass incomplete short right. Penalty on Joshua Dobbs: Intentional Grounding, 15 yards (accepted)",0.100,-1.960
4,0:21,,,,,,Timeout #3 by Minnesota Vikings,,
4,0:21,4,25,MIN 21,20,21,Joshua Dobbs pass incomplete deep middle intended for K.J. Osborn,-1.960,-4.170
4,0:16,1,10,MIN 21,20,21,Russell Wilson kneels for -1 yards,4.170,3.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
