Quarter,Time,Tm,Detail,BUF,NWE
1.0,2:58,Bills,Shawn Nelson 11 yard pass from Trent Edwards (Rian Lindell kick),7,0
2.0,6:22,Patriots,Fred Taylor 1 yard rush (Stephen Gostkowski kick),7,7
,3:29,Bills,Aaron Schobel 26 yard interception return (Rian Lindell kick),14,7
,0:00,Patriots,Stephen Gostkowski 20 yard field goal,14,10
3.0,2:32,Bills,Rian Lindell 40 yard field goal,17,10
4.0,11:43,Patriots,Stephen Gostkowski 28 yard field goal,17,13
,5:32,Bills,Fred Jackson 10 yard pass from Trent Edwards (Rian Lindell kick),24,13
,2:06,Patriots,Ben Watson 18 yard pass from Tom Brady (pass failed),24,19
,0:50,Patriots,Ben Watson 16 yard pass from Tom Brady (pass failed),24,25
