Unnamed: 0,BUF,NWE
First Downs,17,28
Rush-Yds-TDs,19-90-0,23-73-1
Cmp-Att-Yd-TD-INT,15-25-212-2-0,39-53-378-2-1
Sacked-Yards,4-26,1-10
Net Pass Yards,186,368
Total Yards,276,441
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,9-71,6-55
Third Down Conv.,4-10,10-16
Fourth Down Conv.,1-1,0-2
Time of Possession,22:52,37:08
