Quarter,Time,Tm,Detail,DET,ATL
1.0,4:16,Lions,D'Andre Swift 3 yard rush (Matt Prater kick),7,0
2.0,10:55,Falcons,Todd Gurley 1 yard rush (Younghoe Koo kick),7,7
,0:29,Falcons,Calvin Ridley 4 yard pass from Matt Ryan (Younghoe Koo kick),7,14
,0:00,Lions,Matt Prater 50 yard field goal,10,14
3.0,7:34,Lions,Matt Prater 51 yard field goal,13,14
4.0,3:16,Lions,Matt Prater 49 yard field goal,16,14
,1:04,Falcons,Todd Gurley 10 yard rush (Calvin Ridley pass from Matt Ryan),16,22
,0:00,Lions,T.J. Hockenson 11 yard pass from Matthew Stafford (Matt Prater kick),23,22
