Unnamed: 0,DET,ATL
First Downs,21,26
Rush-Yds-TDs,21-64-1,26-66-2
Cmp-Att-Yd-TD-INT,25-36-340-1-0,31-42-338-1-0
Sacked-Yards,2-18,2-16
Net Pass Yards,322,322
Total Yards,386,388
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,5-50,8-53
Third Down Conv.,3-10,7-14
Fourth Down Conv.,0-1,1-2
Time of Possession,29:15,30:45
