Unnamed: 0,NOR,LAR
First Downs,18,23
Rush-Yds-TDs,16-35-0,32-133-1
Cmp-Att-Yd-TD-INT,27-40-319-3-1,24-34-328-2-0
Sacked-Yards,2-15,1-3
Net Pass Yards,304,325
Total Yards,339,458
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,3-20,3-25
Third Down Conv.,5-11,4-12
Fourth Down Conv.,0-3,1-1
Time of Possession,25:42,34:18
