Quarter,Time,Down,ToGo,Location,NWE,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Wade Richey kicks off 52 yards, returned by Marc Edwards for 15 yards (tackle by Zeke Moreno)",0.000,1.140
1,14:52,1,10,NWE 33,0,0,Antowain Smith right tackle for 10 yards (tackle by Rogers Beckett),1.140,1.800
1,14:15,1,10,NWE 43,0,0,Marc Edwards middle for 2 yards (tackle by Jamal Williams),1.800,1.520
1,13:42,2,8,NWE 45,0,0,Tom Brady pass incomplete intended for Deion Branch,1.520,0.830
1,13:40,3,8,NWE 45,0,0,Tom Brady pass complete to Deion Branch for 16 yards (tackle by Alex Molden),0.830,2.980
1,13:17,1,10,SDG 39,0,0,Tom Brady pass complete to Daniel Graham for 5 yards (tackle by Junior Seau),2.980,3.120
1,12:42,2,5,SDG 34,0,0,Tom Brady pass complete to David Patten for 4 yards (tackle by Alex Molden and Marcellus Wiley),3.120,2.940
1,12:09,3,1,SDG 30,0,0,Antowain Smith middle for 2 yards (tackle by Jason Fisk and Junior Seau),2.940,3.710
1,11:33,1,10,SDG 28,0,0,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Alex Molden),3.710,4.420
1,10:49,2,1,SDG 19,0,0,Antowain Smith middle for 6 yards (tackle by Rodney Harrison and Alex Molden),4.420,4.710
1,10:10,1,10,SDG 13,0,0,Antowain Smith middle for 8 yards (tackle by Rodney Harrison and Donnie Edwards),4.710,5.540
1,9:30,2,2,SDG 5,6,0,"Tom Brady pass complete to Christian Fauria for 5 yards, touchdown",5.540,7.000
1,9:30,,,SDG 5,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,9:30,,,NWE 30,7,0,"Adam Vinatieri kicks off 68 yards, returned by Ronney Jenkins for 24 yards (tackle by Daniel Graham)",0.000,0.670
,,,,,,,"SDG challenged the ruling, and the original play was overturned.",,
1,9:19,1,10,SDG 26,7,0,LaDainian Tomlinson left tackle for no gain (tackle by Tedy Bruschi and Bobby Hamilton),0.670,0.130
1,8:44,2,10,SDG 26,7,0,LaDainian Tomlinson middle for 11 yards (tackle by Tebucky Jones and Mike Vrabel),0.130,1.400
1,8:05,1,10,SDG 37,7,0,Drew Brees pass incomplete intended for Tim Dwight,1.400,0.860
1,8:00,2,10,SDG 37,7,0,"Drew Brees pass complete to Fred McCrary for 2 yards (tackle by Ty Law). Fred McCrary fumbles (forced by Ty Law), recovered by Mike Vrabel at SDG-39",0.860,-2.980
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
1,7:50,1,10,SDG 39,7,0,Tom Brady pass incomplete intended for David Patten,2.980,2.440
1,7:46,2,10,SDG 39,7,0,Antowain Smith right end for 3 yards (tackle by Junior Seau and Rodney Harrison),2.440,2.150
1,7:01,3,7,SDG 36,7,0,Tom Brady pass incomplete intended for David Patten (defended by Marcellus Wiley),2.150,0.880
1,6:57,4,7,SDG 36,7,0,"Ken Walter punts 23 yards, fair catch by Tamarick Vanover",0.880,0.320
1,6:50,1,10,SDG 13,7,0,LaDainian Tomlinson right end for 5 yards (tackle by Otis Smith),-0.320,-0.140
1,6:27,2,5,SDG 18,7,0,LaDainian Tomlinson middle for 4 yards (tackle by Tedy Bruschi),-0.140,-0.350
1,5:51,3,1,SDG 22,7,0,LaDainian Tomlinson for 7 yards (tackle by Ty Law),-0.350,0.870
1,5:18,1,10,SDG 29,7,0,"Penalty on SDG: Delay of Game, 5 yards (no play)",0.870,0.540
1,4:58,1,15,SDG 24,7,0,LaDainian Tomlinson left tackle for 24 yards (tackle by Ty Law),0.540,2.130
1,4:25,1,10,SDG 48,7,6,"Drew Brees pass complete to Curtis Conway for 52 yards, touchdown",2.130,7.000
1,4:25,,,NWE 48,7,7,Steve Christie kicks extra point good,0.000,0.000
1,4:25,,,SDG 30,7,7,"Wade Richey kicks off 63 yards, returned by Patrick Pass for 28 yards (tackle by Justin Peelle)",0.000,1.270
1,4:09,1,10,NWE 35,7,7,Tom Brady pass complete to Daniel Graham for 15 yards (tackle by Ben Leber),1.270,2.260
1,3:33,1,10,,7,7,Antowain Smith left guard for 2 yards (tackle by Marcellus Wiley and Donnie Edwards),2.260,1.980
1,2:57,2,8,SDG 48,7,7,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Ben Leber),1.980,2.980
1,2:35,1,10,SDG 39,7,7,Antowain Smith left end for 1 yard (tackle by Raylee Johnson),2.980,2.580
1,1:57,2,9,SDG 38,7,7,Tom Brady pass complete to Deion Branch for 12 yards (tackle by Alex Molden),2.580,3.840
1,1:28,1,10,SDG 26,7,7,Antowain Smith middle for 9 yards (tackle by Leonardo Carson),3.840,4.640
1,0:40,2,1,SDG 17,7,7,Tom Brady pass complete to Marc Edwards for 9 yards (tackle by Junior Seau and Leonardo Carson),4.640,5.370
Quarter,Time,Down,ToGo,Location,NWE,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,8,SDG 8,7,7,Tom Brady pass incomplete intended for Antowain Smith,5.370,4.570
2,14:53,2,8,SDG 8,7,7,Tom Brady pass complete to Deion Branch for 7 yards (tackle by Alex Molden),4.570,5.170
2,14:17,3,1,SDG 1,13,7,"Tom Brady pass complete to Mike Vrabel for 1 yard, touchdown",5.170,7.000
2,14:17,,,SDG 1,14,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,14:17,,,NWE 30,14,7,"Adam Vinatieri kicks off 69 yards, returned by Ronney Jenkins for 26 yards (tackle by Matt Chatham)",0.000,0.740
2,14:05,1,10,SDG 27,14,7,Drew Brees pass incomplete intended for Tim Dwight,0.740,0.200
2,14:00,2,10,SDG 27,14,7,Drew Brees pass incomplete intended for Stephen Alexander,0.200,-0.490
2,13:55,3,10,SDG 27,14,7,Drew Brees pass incomplete intended for Stephen Alexander (defended by Mike Vrabel),-0.490,-1.570
2,13:50,4,10,SDG 27,14,7,"Darren Bennett punts 43 yards, returned by Kevin Faulk for 6 yards (tackle by Terrell Fletcher)",-1.570,-1.330
2,13:39,1,10,NWE 36,14,7,Antowain Smith middle for 2 yards (tackle by Jason Fisk),1.330,1.060
2,13:06,2,8,NWE 38,14,7,Tom Brady pass complete to Antowain Smith for 7 yards (tackle by Marcellus Wiley),1.060,1.290
2,12:19,3,1,NWE 45,14,7,Marc Edwards middle for 1 yard (tackle by Rodney Harrison),1.290,1.990
2,11:45,1,10,NWE 46,14,7,Antowain Smith middle for 1 yard (tackle by Jamal Williams),1.990,1.590
2,11:02,2,9,NWE 47,14,7,"Tom Brady pass complete to Deion Branch for 7 yards (tackle by Quentin Jammer). Penalty on Kenyatta Jones: Offensive Holding, 10 yards (no play)",1.590,0.240
2,10:36,2,9,NWE 47,,,Timeout #2 by Los Angeles Chargers,1.590,0.240
2,10:36,2,19,NWE 37,14,7,Tom Brady pass complete to Deion Branch for 18 yards (tackle by Ryan McNeil),0.240,1.950
2,9:55,3,1,SDG 45,14,7,Deion Branch left end for 4 yards (tackle by Quentin Jammer),1.950,2.850
2,9:27,1,10,SDG 41,14,7,Antowain Smith right end for 9 yards (tackle by Rodney Harrison),2.850,3.520
2,8:45,2,1,SDG 32,14,7,"Penalty on Damien Woody: False Start, 5 yards (no play)",3.520,2.850
2,8:29,2,6,SDG 37,14,7,Tom Brady pass complete to Deion Branch for 11 yards (tackle by Junior Seau),2.850,3.840
2,7:54,1,10,SDG 26,14,7,Kevin Faulk middle for 3 yards (tackle by Junior Seau),3.840,3.700
2,7:09,2,7,SDG 23,14,7,Tom Brady pass incomplete,3.700,3.010
2,7:03,3,7,SDG 23,14,7,Tom Brady pass incomplete intended for David Patten,3.010,1.930
2,6:56,4,7,SDG 23,14,7,Adam Vinatieri 41 yard field goal no good,1.930,-1.000
2,6:52,1,10,SDG 31,14,7,Drew Brees pass complete to LaDainian Tomlinson for 1 yard (tackle by Victor Green),1.000,0.600
2,6:13,2,9,SDG 32,14,7,LaDainian Tomlinson middle for 2 yards (tackle by Tedy Bruschi),0.600,0.170
2,5:36,3,7,SDG 34,14,7,Drew Brees pass complete to Tim Dwight for 11 yards (tackle by Tebucky Jones),0.170,1.930
2,4:49,1,10,SDG 45,14,7,Drew Brees pass incomplete intended for LaDainian Tomlinson,1.930,1.380
2,4:44,2,10,SDG 45,14,7,Drew Brees pass incomplete intended for Curtis Conway,1.380,0.700
2,4:39,3,10,SDG 45,14,7,Drew Brees right end for 10 yards (tackle by Roman Phifer),0.700,2.590
2,3:50,1,10,NWE 45,14,7,LaDainian Tomlinson left tackle for 4 yards (tackle by Anthony Pleasant and Steve Martin),2.590,2.580
2,3:12,2,6,NWE 41,14,7,Drew Brees pass complete to LaDainian Tomlinson for 4 yards (tackle by Victor Green and Tedy Bruschi),2.580,2.410
2,2:28,3,2,NWE 37,14,13,"LaDainian Tomlinson right tackle for 37 yards, touchdown",2.410,7.000
2,2:28,,,NWE 37,14,14,Steve Christie kicks extra point good,0.000,0.000
2,2:28,,,SDG 30,14,14,"Wade Richey kicks off 63 yards, returned by Kevin Faulk for 20 yards (tackle by Zeke Moreno)",0.000,0.740
2,2:13,3,2,NWE 37,,,Timeout #3 by Los Angeles Chargers,2.410,-0.740
2,2:13,1,10,NWE 27,14,14,Tom Brady pass incomplete intended for Daniel Graham,0.740,0.200
2,2:08,2,10,NWE 27,14,14,Tom Brady pass complete to Deion Branch for 6 yards (tackle by Donnie Edwards),0.200,0.300
2,2:00,3,4,NWE 33,14,14,Tom Brady pass complete to David Patten for 7 yards (tackle by Vernon Fox),0.300,1.600
