Quarter,Time,Tm,Detail,NWE,SDG
1.0,9:26,Patriots,Christian Fauria 5 yard pass from Tom Brady (Adam Vinatieri kick),7,0
,4:17,Chargers,Curtis Conway 52 yard pass from Drew Brees (Steve Christie kick),7,7
2.0,14:13,Patriots,Mike Vrabel 1 yard pass from Tom Brady (Adam Vinatieri kick),14,7
,2:19,Chargers,LaDainian Tomlinson 37 yard rush (Steve Christie kick),14,14
3.0,14:14,Chargers,LaDainian Tomlinson 58 yard rush (Steve Christie kick),14,21
