Unnamed: 0,NWE,SDG
First Downs,25,14
Rush-Yds-TDs,23-87-0,34-238-2
Cmp-Att-Yd-TD-INT,36-53-353-2-2,10-18-104-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,353,104
Total Yards,440,342
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,6-45,2-20
Third Down Conv.,7-14,6-12
Fourth Down Conv.,1-2,1-2
Time of Possession,33:13,26:47
