Unnamed: 0,MIN,GNB
First Downs,28,30
Rush-Yds-TDs,43-232-1,34-196-2
Cmp-Att-Yd-TD-INT,21-30-233-1-0,28-53-316-1-0
Sacked-Yards,6-18,2-18
Net Pass Yards,215,298
Total Yards,447,494
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,5-53,7-50
Third Down Conv.,6-16,3-16
Fourth Down Conv.,0-0,2-2
Time of Possession,40:33,34:27
