Unnamed: 0,DET,SEA
First Downs,17,25
Rush-Yds-TDs,21-114-0,18-55-1
Cmp-Att-Yd-TD-INT,22-42-203-2-5,40-52-344-1-1
Sacked-Yards,2-17,1-2
Net Pass Yards,186,342
Total Yards,300,397
Fumbles-Lost,2-0,3-1
Turnovers,5,2
Penalties-Yards,9-77,6-45
Third Down Conv.,6-16,7-15
Fourth Down Conv.,0-0,0-1
Time of Possession,29:18,30:42
