Quarter,Time,Tm,Detail,DET,SEA
1.0,6:18,Lions,Brandon Pettigrew 7 yard pass from Matthew Stafford (Jason Hanson kick),7,0
,5:19,Lions,Bryant Johnson 29 yard pass from Matthew Stafford (Jason Hanson kick),14,0
,0:43,Lions,Jason Hanson 41 yard field goal,17,0
2.0,10:47,Seahawks,Julius Jones 3 yard rush (Olindo Mare kick),17,7
,3:00,Seahawks,Olindo Mare 37 yard field goal,17,10
,0:02,Seahawks,Olindo Mare 37 yard field goal,17,13
3.0,9:24,Seahawks,Olindo Mare 24 yard field goal,17,16
,2:32,Seahawks,T.J. Houshmandzadeh 2 yard pass from Matt Hasselbeck (pass failed),17,22
4.0,10:09,Seahawks,Olindo Mare 20 yard field goal,17,25
,8:04,Lions,Jason Hanson 50 yard field goal,20,25
,0:22,Seahawks,Josh Wilson 61 yard interception return (Olindo Mare kick),20,32
