Unnamed: 0,DEN,CAR
First Downs,14,19
Rush-Yds-TDs,19-121-0,46-185-1
Cmp-Att-Yd-TD-INT,19-35-142-1-0,11-19-164-1-0
Sacked-Yards,3-17,0-0
Net Pass Yards,125,164
Total Yards,246,349
Fumbles-Lost,2-2,2-1
Turnovers,2,1
Penalties-Yards,4-44,4-34
Third Down Conv.,4-14,2-12
Fourth Down Conv.,0-1,2-2
Time of Possession,22:57,37:03
