Quarter,Time,Tm,Detail,DEN,CAR
1.0,0:30,Panthers,D.J. Moore 5 yard pass from Sam Darnold (Eddy Pineiro kick),0,7
2.0,10:11,Broncos,Brandon McManus 27 yard field goal,3,7
,4:42,Panthers,Eddy Pineiro 42 yard field goal,3,10
3.0,7:16,Panthers,Sam Darnold 2 yard rush (Eddy Pineiro kick),3,17
4.0,13:33,Panthers,Eddy Pineiro 26 yard field goal,3,20
,8:59,Panthers,Eddy Pineiro 36 yard field goal,3,23
,3:19,Broncos,Brandon Johnson 1 yard pass from Russell Wilson (Brandon McManus kick),10,23
