Unnamed: 0,LAR,ARI
First Downs,18,22
Rush-Yds-TDs,21-89-0,22-103-2
Cmp-Att-Yd-TD-INT,23-30-287-3-0,32-49-383-0-2
Sacked-Yards,3-20,4-39
Net Pass Yards,267,344
Total Yards,356,447
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,5-40,7-54
Third Down Conv.,6-12,8-15
Fourth Down Conv.,0-0,2-4
Time of Possession,29:04,30:56
