Quarter,Time,Tm,Detail,LAR,ARI
1.0,10:58,Cardinals,Matt Prater 53 yard field goal,0,3
2.0,12:53,Rams,Odell Beckham Jr. 2 yard pass from Matthew Stafford (Matt Gay kick),7,3
,7:23,Rams,Matt Gay 55 yard field goal,10,3
,3:18,Cardinals,James Conner 1 yard rush (Matt Prater kick),10,10
,0:35,Rams,Matt Gay 35 yard field goal,13,10
,0:00,Cardinals,Matt Prater 53 yard field goal,13,13
3.0,13:36,Rams,Van Jefferson 52 yard pass from Matthew Stafford (Matt Gay kick),20,13
,9:45,Rams,Cooper Kupp 4 yard pass from Matthew Stafford (Matt Gay kick),27,13
4.0,13:38,Cardinals,James Conner 8 yard rush (Matt Prater kick),27,20
,7:20,Rams,Matt Gay 33 yard field goal,30,20
,0:37,Cardinals,Matt Prater 49 yard field goal,30,23
