Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 76 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,Ryan Mathews middle for 3 yards (tackle by Jason Jones and Tim Shaw),0.280,0.140
1,14:23,2,7,SDG 23,0,0,Ryan Mathews left tackle for 2 yards (tackle by Jason Jones and Stephen Tulloch),0.140,-0.300
1,13:41,3,5,SDG 25,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Jason Jones),-0.300,-1.700
1,13:37,4,5,SDG 25,2,0,"Mike Scifres punts no gain, safety",-1.700,-2.000
1,,,,SDG 20,2,0,"Mike Scifres kicks off 64 yards, returned by Marc Mariani for 20 yards (tackle by Antwan Barnes)",0.000,1.330
1,13:26,1,10,TEN 36,2,0,Chris Johnson left tackle for 4 yards (tackle by Eric Weddle),1.330,1.330
1,12:53,2,6,TEN 40,2,0,Chris Johnson left end for 1 yard (tackle by Kevin Burnett),1.330,0.760
1,12:13,3,5,TEN 41,2,0,Vince Young pass incomplete deep right intended for Nate Washington (defended by Eric Weddle),0.760,-0.650
1,12:07,4,5,TEN 41,2,0,Brett Kern punts 42 yards,-0.650,0.060
1,12:00,1,10,SDG 17,2,0,Ryan Mathews left tackle for 4 yards (tackle by Stephen Tulloch),-0.060,0.080
1,11:25,2,6,SDG 21,2,0,Philip Rivers pass incomplete,0.080,-0.750
1,11:19,3,6,SDG 21,2,0,Philip Rivers pass complete short middle to Patrick Crayton for 15 yards (tackle by Will Witherspoon and Chris Hope),-0.750,1.330
1,10:38,1,10,SDG 36,2,0,Philip Rivers pass complete short left to Ryan Mathews for 13 yards (tackle by Gerald McRath),1.330,2.190
1,10:07,1,10,SDG 49,2,0,Darren Sproles middle for -5 yards (tackle by Will Witherspoon),2.190,0.970
1,9:29,2,15,SDG 44,2,0,Philip Rivers pass complete short right to Patrick Crayton for 14 yards (tackle by Cortland Finnegan),0.970,2.150
,,,,,,,"SDG challenged the incomplete pass ruling, and the original play was overturned.",,
1,9:12,3,1,TEN 42,2,0,Mike Tolbert right tackle for 3 yards (tackle by Gerald McRath and Stephen Tulloch),2.150,2.980
1,8:31,1,10,TEN 39,2,0,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Gerald McRath),2.980,2.440
1,8:25,2,10,TEN 39,2,0,Philip Rivers pass complete short left to Seyi Ajirotutu for 9 yards (tackle by Alterraun Verner),2.440,2.940
1,7:57,3,1,TEN 30,2,0,Philip Rivers pass complete short right to Antonio Gates for 6 yards (tackle by Gerald McRath),2.940,3.970
1,7:32,1,10,TEN 24,2,0,Ryan Mathews right tackle for 2 yards (tackle by Tim Shaw and Will Witherspoon),3.970,3.700
1,6:52,2,8,TEN 22,2,0,Ryan Mathews right tackle for 3 yards (tackle by Sen'Derrick Marks),3.700,3.410
1,6:07,3,5,TEN 19,2,0,Philip Rivers pass complete short middle to Antonio Gates for 15 yards (tackle by Chris Hope),3.410,6.280
1,5:21,1,4,TEN 4,2,0,Ryan Mathews middle for 3 yards (tackle by Gerald McRath),6.280,5.910
1,4:37,2,1,TEN 1,2,6,"Mike Tolbert right tackle for 1 yard, touchdown",5.910,7.000
1,,,,TEN 2,2,7,Kris Brown kicks extra point good,0.000,0.000
1,,,,SDG 30,2,7,"Kris Brown kicks off 60 yards, returned by Marc Mariani for 19 yards (tackle by Dante Hughes)",0.000,0.870
1,4:27,1,10,TEN 29,2,7,Vince Young pass incomplete deep left intended for Kenny Britt,0.870,0.330
1,4:21,2,10,TEN 29,2,7,Chris Johnson for 6 yards (tackle by Eric Weddle),0.330,0.430
1,3:47,3,4,TEN 35,2,7,Vince Young pass complete deep right to Jared Cook for 36 yards (tackle by Eric Weddle),0.430,3.640
1,3:16,1,10,SDG 29,2,7,Chris Johnson right end for 5 yards (tackle by Eric Weddle),3.640,3.780
1,2:39,2,5,SDG 24,2,7,Vince Young pass incomplete deep right intended for Damian Williams,3.780,3.070
1,2:34,3,5,SDG 24,2,7,"Penalty on Jake Scott: False Start, 5 yards (no play)",3.070,2.410
1,2:34,3,10,SDG 29,2,7,Vince Young pass complete short middle to Lavelle Hawkins for 18 yards (tackle by Stephen Cooper),2.410,4.840
1,1:57,1,10,SDG 11,2,7,Chris Johnson middle for 3 yards (tackle by Stephen Cooper and Eric Weddle),4.840,4.700
1,1:17,2,7,SDG 8,2,7,Chris Johnson middle for 1 yard (tackle by Travis Johnson),4.700,3.980
1,0:40,3,6,SDG 7,2,7,"Penalty on Vaughn Martin: Encroachment, 4 yards (no play)",3.980,4.890
1,0:24,3,2,SDG 3,2,7,Vince Young pass incomplete short right intended for Damian Williams (defended by Quentin Jammer),4.890,3.050
1,0:19,4,2,SDG 3,5,7,Rob Bironas 21 yard field goal good,3.050,3.000
1,,,,TEN 30,5,7,"Rob Bironas kicks off 70 yards, returned by Darren Sproles for 24 yards (tackle by Jason McCourty)",0.000,0.540
1,0:11,1,10,SDG 24,5,7,Ryan Mathews middle for 2 yards (tackle by William Hayes),0.540,0.270
Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,SDG 26,5,7,Philip Rivers pass incomplete short left intended for Randy McMichael,0.270,-0.430
2,14:56,3,8,SDG 26,5,7,Philip Rivers pass complete short middle to Patrick Crayton for 11 yards (tackle by Will Witherspoon),-0.430,1.400
2,14:17,1,10,SDG 37,5,7,Ryan Mathews middle for 1 yard (tackle by Jason Jones),1.400,0.990
2,13:33,2,9,SDG 38,5,7,Philip Rivers pass incomplete short right intended for Darren Sproles,0.990,0.300
2,13:28,3,9,SDG 38,5,7,"Philip Rivers pass complete short right to Patrick Crayton for 12 yards. Penalty on Jeromey Clary: Illegal Formation, 5 yards (no play)",0.300,-0.360
2,12:58,3,14,SDG 33,5,7,Philip Rivers middle for 4 yards (tackle by Jacob Ford),-0.360,-0.910
2,12:26,4,10,SDG 37,5,7,"Mike Scifres punts 63 yards, touchback",-0.910,-0.280
2,12:18,1,10,TEN 20,5,7,Vince Young pass complete deep left to Damian Williams for 26 yards (tackle by Antoine Cason),0.280,1.990
2,11:36,1,10,TEN 46,5,7,Vince Young pass incomplete deep left intended for Jared Cook,1.990,1.450
2,11:28,2,10,TEN 46,5,7,Chris Johnson middle for -1 yards (tackle by Paul Oliver),1.450,0.630
2,10:48,3,11,TEN 45,5,7,Vince Young pass complete deep left to Lavelle Hawkins for 24 yards (tackle by Eric Weddle),0.630,3.510
2,10:06,1,10,SDG 31,5,7,Javon Ringer right tackle for 2 yards (tackle by Antonio Garay and Paul Oliver),3.510,3.240
2,9:33,2,8,SDG 29,5,7,Vince Young pass complete short left to Craig Stevens for 28 yards (tackle by Paul Oliver),3.240,6.970
2,8:47,1,1,SDG 1,5,7,Chris Johnson right guard for no gain (tackle by Antwan Applewhite and Antonio Garay),6.970,5.910
2,8:13,2,1,SDG 1,11,7,"Vince Young pass complete short right to Craig Stevens for 1 yard, touchdown",5.910,7.000
2,,,,SDG 2,12,7,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,12,7,"Rob Bironas kicks off 68 yards, returned by Darren Sproles for 26 yards (tackle by Vincent Fuller)",0.000,0.810
2,8:02,1,10,SDG 28,12,7,Mike Tolbert middle for 1 yard (tackle by William Hayes and Will Witherspoon),0.810,0.400
2,7:26,2,9,SDG 29,12,7,Philip Rivers pass complete short right to Mike Tolbert for 5 yards (tackle by Will Witherspoon and Amon Gordon),0.400,0.370
2,6:39,3,4,SDG 34,12,7,Philip Rivers pass incomplete short left intended for Darren Sproles,0.370,-1.110
2,6:33,4,4,SDG 34,12,7,"Mike Scifres punts 57 yards, returned by Marc Mariani for 17 yards (tackle by Quinton Teal)",-1.110,-0.670
2,6:21,1,10,TEN 26,12,7,Vince Young pass complete short right to Nate Washington for 17 yards (tackle by Paul Oliver and Antwan Applewhite),0.670,1.800
2,5:38,1,10,TEN 43,12,7,Chris Johnson right end for 1 yard (tackle by Eric Weddle),1.800,1.390
