Unnamed: 0,TEN,SDG
First Downs,15,23
Rush-Yds-TDs,19-65-1,34-156-2
Cmp-Att-Yd-TD-INT,18-36-305-2-0,27-36-305-2-1
Sacked-Yards,0-0,1-5
Net Pass Yards,305,300
Total Yards,370,456
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,10-80,8-62
Third Down Conv.,4-13,12-18
Fourth Down Conv.,1-2,0-0
Time of Possession,22:13,37:47
