Quarter,Time,Tm,Detail,LVR,DET
1.0,7:51,Lions,Riley Patterson 44 yard field goal,0,3
2.0,12:23,Lions,Riley Patterson 31 yard field goal,0,6
,8:08,Lions,Riley Patterson 33 yard field goal,0,9
,2:56,Raiders,Josh Jacobs 3 yard rush (Daniel Carlson kick),7,9
,0:27,Lions,Sam LaPorta 18 yard pass from Jared Goff (Riley Patterson kick),7,16
3.0,11:32,Raiders,Marcus Peters 75 yard interception return (Daniel Carlson kick),14,16
,3:13,Lions,Jahmyr Gibbs 27 yard rush (Riley Patterson kick),14,23
4.0,9:59,Lions,Riley Patterson 52 yard field goal,14,26
