Unnamed: 0,LVR,DET
First Downs,12,29
Rush-Yds-TDs,18-80-1,43-222-1
Cmp-Att-Yd-TD-INT,10-21-126-0-1,26-37-272-1-1
Sacked-Yards,6-49,1-8
Net Pass Yards,77,264
Total Yards,157,486
Fumbles-Lost,1-0,2-2
Turnovers,1,3
Penalties-Yards,4-40,5-55
Third Down Conv.,1-9,6-14
Fourth Down Conv.,0-3,1-1
Time of Possession,20:27,39:33
