Quarter,Time,Down,ToGo,Location,LVR,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 63 yards, returned by Khalil Dorsey for 18 yards (tackle by DJ Turner)",0.000,0.280
1,14:56,1,10,DET 20,0,0,Jahmyr Gibbs up the middle for 6 yards (tackle by John Jenkins and Nate Hobbs),0.280,0.540
1,14:23,2,4,DET 26,0,0,Jahmyr Gibbs up the middle for 1 yard (tackle by Robert Spillane and Bilal Nichols),0.540,-0.030
1,13:39,3,3,DET 27,0,0,Jared Goff pass complete short right to Sam LaPorta for 6 yards (tackle by Tre'von Moehrig),-0.030,1.140
1,13:07,1,10,DET 33,0,0,Jahmyr Gibbs left tackle for 4 yards (tackle by Bilal Nichols and Maxx Crosby),1.140,1.130
1,12:33,2,6,DET 37,0,0,Jared Goff pass complete short right to Jahmyr Gibbs for 6 yards (tackle by Tyree Wilson),1.130,1.800
1,11:56,1,10,DET 43,0,0,Jared Goff pass incomplete short middle,1.800,1.250
1,11:53,2,10,DET 43,0,0,Jared Goff pass complete short right to Jahmyr Gibbs for 6 yards (tackle by Robert Spillane and Marcus Peters),1.250,1.350
1,11:11,3,4,DET 49,0,0,Jared Goff pass complete short left to Jahmyr Gibbs for 8 yards (tackle by Tre'von Moehrig),1.350,2.720
1,10:34,1,10,LVR 43,0,0,Jahmyr Gibbs right tackle for 4 yards (tackle by Malcolm Koonce),2.720,2.720
1,9:50,2,6,LVR 39,0,0,Craig Reynolds up the middle for 11 yards (tackle by Tre'von Moehrig),2.720,3.710
1,9:14,1,10,LVR 28,0,0,Craig Reynolds up the middle for 2 yards (tackle by Tyree Wilson and Jerry Tillery),3.710,3.440
1,8:37,,,,,,Timeout #1 by Las Vegas Raiders,,
1,8:37,2,8,LVR 26,0,0,Jahmyr Gibbs right tackle for no gain (tackle by Maxx Crosby),3.440,2.740
1,8:02,3,8,LVR 26,0,0,Jared Goff pass incomplete deep right intended for Sam LaPorta,2.740,1.740
1,7:56,4,8,LVR 26,0,3,Riley Patterson 44 yard field goal good,1.740,3.000
1,7:51,,,DET 35,0,3,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,7:51,1,10,LVR 25,0,3,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 12 yards (tackle by Julian Okwara),0.610,1.400
1,7:22,1,10,LVR 37,0,3,Jimmy Garoppolo pass incomplete short left intended for Josh Jacobs,1.400,0.860
1,7:14,2,10,LVR 37,0,3,Josh Jacobs left tackle for no gain (tackle by Tracy Walker and Brian Branch),0.860,0.170
1,6:31,3,10,LVR 37,0,3,Jimmy Garoppolo scrambles left end for 9 yards (tackle by Alex Anzalone),0.170,-0.320
1,5:50,4,1,LVR 46,0,3,"AJ Cole punts 43 yards, fair catch by Kalif Raymond at DET-11",-0.320,0.370
1,5:44,1,10,DET 11,0,3,Jahmyr Gibbs left end for 3 yards (tackle by Malcolm Koonce and John Jenkins),-0.370,-0.530
1,5:09,2,7,DET 14,0,3,"Jared Goff pass complete short right to Josh Reynolds for 13 yards. Josh Reynolds fumbles (forced by Luke Masterson), recovered by Robert Spillane at DET-26",-0.530,-3.840
1,4:59,1,10,DET 26,0,3,Jimmy Garoppolo pass deep right intended for Davante Adams is intercepted by Kerby Joseph in end zone and returned for 15 yards (tackle by Hunter Renfrow),3.840,0.370
1,4:49,1,10,DET 11,0,3,Jared Goff pass complete short left to Sam LaPorta for no gain (tackle by Amik Robertson),-0.370,-0.780
1,4:15,2,10,DET 11,0,3,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by John Jenkins),-0.780,-1.420
1,4:10,3,10,DET 11,0,3,Jared Goff pass incomplete deep left,-1.420,-2.490
1,4:04,4,10,DET 11,0,3,"Jack Fox punts 48 yards, fair catch by DeAndre Carter at LV-41",-2.490,-1.660
1,3:55,1,10,LVR 41,0,3,Josh Jacobs up the middle for 5 yards (tackle by Jack Campbell),1.660,1.800
1,3:30,2,5,LVR 46,0,3,Josh Jacobs up the middle for 4 yards (tackle by Brian Branch),1.800,1.620
1,3:13,3,1,DET 50,0,3,Josh Jacobs left end for -1 yards (tackle by Alex Anzalone),1.620,-0.130
1,2:36,4,2,LVR 49,0,3,Jimmy Garoppolo pass incomplete deep right intended for Hunter Renfrow,-0.130,-2.320
1,2:29,1,10,LVR 49,0,3,Jared Goff pass complete short right to Amon-Ra St. Brown for 12 yards (tackle by Tre'von Moehrig),2.320,3.120
1,2:00,1,10,LVR 37,0,3,Jared Goff pass complete short middle to Amon-Ra St. Brown for 8 yards (tackle by Luke Masterson),3.120,3.650
