Unnamed: 0,BUF,MIA
First Downs,23,28
Rush-Yds-TDs,23-112-0,22-99-1
Cmp-Att-Yd-TD-INT,24-35-415-4-0,31-47-328-2-0
Sacked-Yards,1-4,3-17
Net Pass Yards,411,311
Total Yards,523,410
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,6-55,3-20
Third Down Conv.,5-10,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,28:55,31:05
