Quarter,Time,Tm,Detail,BUF,MIA
1.0,4:55,Bills,Reggie Gilliam 1 yard pass from Josh Allen (Tyler Bass kick),7,0
,0:38,Dolphins,DeVante Parker 2 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,7
2.0,11:40,Bills,Stefon Diggs 22 yard pass from Josh Allen (Tyler Bass kick),14,7
,2:30,Bills,Tyler Bass 39 yard field goal,17,7
,0:02,Dolphins,Jason Sanders 52 yard field goal,17,10
3.0,11:18,Dolphins,Jason Sanders 45 yard field goal,17,13
4.0,10:11,Dolphins,Jordan Howard 2 yard rush (Jason Sanders kick),17,20
,5:55,Bills,Gabriel Davis 6 yard pass from Josh Allen (Tyler Bass kick),24,20
,3:09,Bills,John Brown 46 yard pass from Josh Allen (Tyler Bass kick),31,20
,0:49,Dolphins,Mike Gesicki 8 yard pass from Ryan Fitzpatrick (Preston Williams pass from Ryan Fitzpatrick),31,28
