Unnamed: 0,DEN,PIT
First Downs,20,28
Rush-Yds-TDs,25-104-1,17-23-1
Cmp-Att-Yd-TD-INT,21-44-296-3-1,40-55-380-3-2
Sacked-Yards,2-15,3-26
Net Pass Yards,281,354
Total Yards,385,377
Fumbles-Lost,3-1,0-0
Turnovers,2,2
Penalties-Yards,12-127,9-63
Third Down Conv.,9-17,7-15
Fourth Down Conv.,0-2,0-0
Time of Possession,28:44,31:16
