Quarter,Time,Tm,Detail,BAL,PIT
1.0,6:57,Steelers,Joe Haden 14 yard interception return (Chris Boswell kick failed),0,6
,2:07,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),7,6
2.0,11:50,Steelers,Chris Boswell 25 yard field goal,7,9
,4:27,Steelers,Chris Boswell 27 yard field goal,7,12
4.0,13:20,Steelers,JuJu Smith-Schuster 1 yard pass from Ben Roethlisberger (Chris Boswell kick),7,19
,2:58,Ravens,Marquise Brown 70 yard pass from Trace McSorley (Justin Tucker kick),14,19
