Unnamed: 0,BAL,PIT
First Downs,10,22
Rush-Yds-TDs,28-129-1,20-68-0
Cmp-Att-Yd-TD-INT,9-18-110-1-1,36-51-266-1-1
Sacked-Yards,3-20,0-0
Net Pass Yards,90,266
Total Yards,219,334
Fumbles-Lost,1-1,3-1
Turnovers,2,2
Penalties-Yards,7-86,5-40
Third Down Conv.,3-13,6-14
Fourth Down Conv.,1-1,0-2
Time of Possession,26:21,33:39
