Unnamed: 0,DAL,PHI
First Downs,22,22
Rush-Yds-TDs,32-171-2,33-149-1
Cmp-Att-Yd-TD-INT,22-28-305-5-0,20-34-188-2-1
Sacked-Yards,1-1,3-22
Net Pass Yards,304,166
Total Yards,475,315
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,5-44,3-30
Third Down Conv.,8-13,10-18
Fourth Down Conv.,2-2,3-3
Time of Possession,27:37,32:23
