Quarter,Time,Tm,Detail,DAL,PHI
1.0,9:41,Eagles,Tyree Jackson 3 yard pass from Gardner Minshew II (Jake Elliott kick),0,7
,5:08,Cowboys,Cedrick Wilson Jr. 14 yard pass from Dak Prescott (Greg Zuerlein kick),7,7
,1:37,Cowboys,Greg Zuerlein 48 yard field goal,10,7
2.0,12:24,Eagles,Jake Elliott 38 yard field goal,10,10
,8:07,Cowboys,Cedrick Wilson Jr. 24 yard pass from Dak Prescott (Greg Zuerlein kick),17,10
,3:40,Eagles,Kenneth Gainwell 7 yard rush (Jake Elliott kick),17,17
,1:45,Cowboys,Dalton Schultz 2 yard pass from Dak Prescott (Greg Zuerlein kick failed),23,17
,0:05,Cowboys,Dalton Schultz 9 yard pass from Dak Prescott (Greg Zuerlein kick),30,17
3.0,5:58,Eagles,Jake Elliott 40 yard field goal,30,20
4.0,14:33,Cowboys,Corey Clement 8 yard pass from Dak Prescott (Greg Zuerlein kick),37,20
,10:16,Cowboys,Ito Smith 4 yard rush (Greg Zuerlein kick),44,20
,8:36,Cowboys,JaQuan Hardy 22 yard rush (Greg Zuerlein kick),51,20
,1:50,Eagles,Quez Watkins 36 yard pass from Gardner Minshew II (pass failed),51,26
