Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Cedrick Wilson Jr.,DAL,6,5,119,2,5,84,16.8,35,7.0,15.2,0,,0,0.0,0,158.3
Amari Cooper,DAL,7,5,79,0,3,62,12.4,17,3.4,9.1,0,,0,0.0,0,108.6
Corey Clement,DAL,4,4,22,1,1,11,2.8,11,2.8,2.8,0,,0,0.0,0,129.2
Dalton Schultz,DAL,3,3,21,2,2,20,6.7,1,0.3,6.7,0,,0,0.0,0,135.4
CeeDee Lamb,DAL,2,2,45,0,2,26,13.0,19,9.5,13.0,3,0.7,0,0.0,0,118.7
Ezekiel Elliott,DAL,3,1,3,0,0,-1,-1.0,4,4.0,0.3,0,,0,0.0,0,42.4
Blake Jarwin,DAL,2,1,6,0,,6,6.0,0,0.0,7.5,0,,0,0.0,0,56.2
Jeremy Sprinkle,DAL,1,1,10,0,,6,6.0,4,4.0,6.0,0,,0,0.0,0,108.3
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Quez Watkins,PHI,7,5,84,1,4,28,5.6,56,11.2,9.1,3,1.7,0,0.0,0,151.2
Kenneth Gainwell,PHI,7,4,9,0,2,-5,-1.3,14,3.5,0.1,0,,1,14.3,0,62.2
Tyree Jackson,PHI,5,3,22,1,2,15,5.0,7,2.3,7.6,0,,0,0.0,0,110.0
DeVonta Smith,PHI,4,3,41,0,2,28,9.3,13,4.3,13.3,0,,0,0.0,0,107.3
Jalen Reagor,PHI,3,2,19,0,1,12,6.0,7,3.5,5.3,0,,1,33.3,0,84.0
Richard Rodgers,PHI,2,2,11,0,,1,0.5,10,5.0,0.5,0,,0,0.0,0,89.6
Greg Ward,PHI,2,1,2,0,,1,1.0,1,1.0,0.5,0,,0,0.0,0,56.2
Jason Huntley,PHI,1,0,0,0,0,0,,0,,0.0,0,,0,0.0,0,39.6
JJ Arcega-Whiteside,PHI,3,0,0,0,,0,,0,,11.3,0,,3,100.0,1,0.0
