Unnamed: 0,NYJ,BUF
First Downs,15,24
Rush-Yds-TDs,28-78-2,31-176-2
Cmp-Att-Yd-TD-INT,16-25-170-1-1,18-37-206-0-2
Sacked-Yards,0-0,3-14
Net Pass Yards,170,192
Total Yards,248,368
Fumbles-Lost,2-1,1-1
Turnovers,2,3
Penalties-Yards,7-93,7-47
Third Down Conv.,6-13,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,26:13,33:47
