Unnamed: 0,DET,DAL
First Downs,17,19
Rush-Yds-TDs,20-75-0,30-134-1
Cmp-Att-Yd-TD-INT,32-47-289-2-1,18-24-147-3-0
Sacked-Yards,3-26,2-16
Net Pass Yards,263,131
Total Yards,338,265
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,10-76,6-39
Third Down Conv.,10-18,6-11
Fourth Down Conv.,0-0,1-1
Time of Possession,29:56,30:04
