Unnamed: 0,ATL,HOU
First Downs,16,17
Rush-Yds-TDs,24-69-1,31-135-2
Cmp-Att-Yd-TD-INT,20-39-176-0-1,10-19-125-0-1
Sacked-Yards,1-2,4-24
Net Pass Yards,174,101
Total Yards,243,236
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,6-49,5-53
Third Down Conv.,7-15,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:31,30:29
