Quarter,Time,Tm,Detail,ATL,HOU
2.0,8:38,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick),7,0
,5:43,Texans,Kris Brown 40 yard field goal,7,3
3.0,8:51,Texans,Domanick Williams 7 yard rush (Kris Brown kick),7,10
,6:31,Texans,Domanick Williams 2 yard rush (Kris Brown kick),7,17
4.0,14:07,Falcons,Jay Feely 35 yard field goal,10,17
,1:24,Falcons,Jay Feely 42 yard field goal,13,17
