Unnamed: 0,SFO,SEA
First Downs,15,16
Rush-Yds-TDs,34-170-1,14-70-0
Cmp-Att-Yd-TD-INT,17-26-217-2-0,31-44-238-1-0
Sacked-Yards,1-6,3-31
Net Pass Yards,211,207
Total Yards,381,277
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,7-60,8-79
Third Down Conv.,6-13,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,33:01,26:59
