Quarter,Time,Tm,Detail,SFO,SEA
1.0,3:49,49ers,George Kittle 28 yard pass from Brock Purdy (Robbie Gould kick),7,0
2.0,4:47,Seahawks,Jason Myers 38 yard field goal,7,3
,0:47,49ers,Christian McCaffrey 1 yard rush (Robbie Gould kick),14,3
3.0,14:00,49ers,George Kittle 54 yard pass from Brock Purdy (Robbie Gould kick),21,3
,8:08,Seahawks,Jason Myers 51 yard field goal,21,6
4.0,3:35,Seahawks,Noah Fant 10 yard pass from Geno Smith (Jason Myers kick),21,13
