Unnamed: 0,MIA,LVR
First Downs,18,23
Rush-Yds-TDs,25-130-0,24-104-1
Cmp-Att-Yd-TD-INT,26-35-276-2-0,21-34-336-1-0
Sacked-Yards,3-23,3-22
Net Pass Yards,253,314
Total Yards,383,418
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-76,4-40
Third Down Conv.,5-15,0-10
Fourth Down Conv.,2-2,1-2
Time of Possession,33:01,26:59
