Quarter,Time,Down,ToGo,Location,MIA,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LVR 25,0,0,Josh Jacobs left guard for 3 yards (tackle by Andrew Van Ginkel),0.610,0.470
1,14:34,2,7,LVR 28,0,0,Derek Carr pass complete short right to Hunter Renfrow for -1 yards (tackle by Kyle Van Noy and Byron Jones),0.470,-0.360
1,14:00,3,8,LVR 27,0,0,Derek Carr pass incomplete deep left intended for Nelson Agholor,-0.360,-1.570
1,13:55,4,8,LVR 27,0,0,"AJ Cole punts 58 yards, returned by Jakeem Grant for 7 yards (tackle by Dallin Leavitt and Foster Moreau)",-1.570,-0.410
1,13:42,1,10,MIA 22,0,0,Tua Tagovailoa pass complete short right to Durham Smythe for 1 yard (tackle by Cory Littleton),0.410,0.000
1,13:00,2,9,MIA 23,0,0,Salvon Ahmed left end for -4 yards (tackle by Javin White and Maurice Hurst),0.000,-1.290
1,12:14,3,13,MIA 19,0,0,Tua Tagovailoa right tackle for 5 yards (tackle by Raekwon McMillan),-1.290,-1.770
1,11:36,4,8,MIA 24,0,0,"Matt Haack punts 51 yards, returned by Hunter Renfrow for 32 yards (tackle by Noah Igbinoghene)",-1.770,-2.720
1,11:21,1,10,MIA 43,0,0,Derek Carr pass complete short middle to Nelson Agholor for 16 yards (tackle by Andrew Van Ginkel),2.720,3.780
1,10:37,1,10,MIA 27,0,0,Derek Carr pass incomplete short right intended for Darren Waller,3.780,3.230
1,10:32,2,10,MIA 27,0,0,Derek Carr pass complete short right to Hunter Renfrow for 11 yards (tackle by Xavien Howard and Eric Rowe),3.230,4.510
1,9:50,1,10,MIA 16,0,0,Derek Carr pass incomplete deep right intended for Jason Witten,4.510,3.900
1,9:45,2,10,MIA 16,0,0,Josh Jacobs right guard for 13 yards (tackle by Andrew Van Ginkel),3.900,6.510
1,9:10,1,3,MIA 3,0,0,Josh Jacobs right guard for 2 yards (tackle by Jerome Baker and Byron Jones),6.510,5.910
1,8:27,2,1,MIA 1,0,6,"Derek Carr up the middle for 1 yard, touchdown",5.910,7.000
1,8:25,,,MIA 15,0,7,Daniel Carlson kicks extra point good,0.000,0.000
1,8:25,,,LVR 35,0,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,8:25,1,10,MIA 25,0,7,Salvon Ahmed right guard for no gain (tackle by Maxx Crosby and Dallin Leavitt),0.610,0.060
1,7:50,2,10,MIA 25,0,7,Tua Tagovailoa pass complete short middle to Salvon Ahmed for 1 yard (tackle by Johnathan Hankins),0.060,-0.490
1,7:04,3,9,MIA 26,0,7,Tua Tagovailoa pass complete short right to Jakeem Grant for 13 yards (tackle by Cory Littleton and Nevin Lawson),-0.490,1.530
1,6:20,1,10,MIA 39,0,7,Myles Gaskin up the middle for 14 yards (tackle by Raekwon McMillan),1.530,2.460
1,5:47,1,10,LVR 47,0,7,Myles Gaskin left tackle for 8 yards (tackle by Arden Key and Kyle Wilber),2.460,2.990
1,5:17,2,2,LVR 39,0,7,"Myles Gaskin right end for 3 yards (tackle by Kyle Wilber and Nevin Lawson). Penalty on Robert Hunt: Offensive Holding, 10 yards (no play)",2.990,1.640
1,4:51,2,12,LVR 49,0,7,Tua Tagovailoa pass complete short middle to Mike Gesicki for 5 yards (tackle by Johnathan Abram),1.640,1.620
1,4:05,3,7,LVR 44,0,7,Tua Tagovailoa pass complete short middle to Jakeem Grant for 5 yards (tackle by Nevin Lawson),1.620,0.660
1,3:24,4,2,LVR 39,0,7,"Tua Tagovailoa right end for 7 yards (tackle by Lamarcus Joyner). Penalty on Lamarcus Joyner: Defensive Holding, 5 yards",0.660,3.780
1,2:55,1,10,LVR 27,0,7,Tua Tagovailoa pass complete short left to Lynn Bowden for 6 yards (tackle by Cory Littleton),3.780,4.040
1,2:34,2,4,LVR 21,0,7,Salvon Ahmed up the middle for 3 yards (tackle by Kyle Wilber),4.040,3.840
1,2:11,3,1,LVR 18,0,7,Salvon Ahmed up the middle for -1 yards (tackle by Maxx Crosby),3.840,2.310
1,1:28,4,2,LVR 19,3,7,Jason Sanders 37 yard field goal good,2.310,3.000
1,1:23,,,MIA 35,3,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,1:23,1,10,LVR 25,3,7,Henry Ruggs right tackle for 7 yards (tackle by Byron Jones and Kyle Van Noy),0.610,1.010
1,0:45,2,3,LVR 32,3,7,Derek Carr pass complete short left to Devontae Booker for 4 yards (tackle by Eric Rowe),1.010,1.330
1,0:14,1,10,LVR 36,3,7,Derek Carr pass complete deep right to Darren Waller for 29 yards (tackle by Eric Rowe),1.330,3.250
Quarter,Time,Down,ToGo,Location,MIA,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 35,3,7,Devontae Booker left guard for no gain (tackle by Raekwon Davis),3.250,2.700
2,14:28,2,10,MIA 35,3,7,Derek Carr pass complete short middle to Jason Witten for 2 yards (tackle by Jerome Baker),2.700,2.280
2,13:42,3,8,MIA 33,3,7,Derek Carr sacked by Andrew Van Ginkel for -9 yards,2.280,0.460
2,13:02,4,17,MIA 42,3,7,"AJ Cole punts 27 yards, fair catch by Jakeem Grant at MIA-15. Penalty on Kavon Frazier: Offensive Holding, 7 yards",0.460,0.380
2,12:55,1,10,MIA 8,3,7,Tua Tagovailoa pass complete short right to Lynn Bowden for 2 yards (tackle by Trayvon Mullen),-0.380,-0.630
2,12:23,2,8,MIA 10,3,7,Tua Tagovailoa pass complete short left to Adam Shaheen for 3 yards (tackle by Cory Littleton),-0.630,-0.840
2,11:34,3,5,MIA 13,3,7,Tua Tagovailoa pass incomplete short middle intended for Lynn Bowden,-0.840,-2.490
2,11:28,4,5,MIA 13,3,7,"Matt Haack punts 46 yards, returned by Hunter Renfrow for -3 yards (tackle by Kamu Grugier-Hill)",-2.490,-1.470
2,11:17,1,10,LVR 38,3,7,Derek Carr pass incomplete short left intended for Josh Jacobs,1.470,0.920
2,11:12,2,10,LVR 38,3,7,Josh Jacobs up the middle for 15 yards (tackle by Brandon Jones),0.920,2.460
2,10:41,1,10,MIA 47,3,7,Derek Carr pass complete short middle to Nelson Agholor for 19 yards (tackle by Byron Jones),2.460,3.710
2,10:14,1,10,MIA 28,3,7,Josh Jacobs left end for 10 yards (tackle by Andrew Van Ginkel),3.710,4.370
2,9:48,1,10,MIA 18,3,7,Derek Carr pass incomplete short left intended for Josh Jacobs (defended by Andrew Van Ginkel),4.370,3.800
2,9:44,2,10,MIA 18,3,7,Derek Carr sacked by Andrew Van Ginkel for -9 yards,3.800,1.950
2,9:03,3,19,MIA 27,3,7,Jalen Richard left guard for 18 yards (tackle by Eric Rowe and Brandon Jones),1.950,2.980
2,8:21,,,,,,Timeout #1 by Miami Dolphins,,
2,8:21,4,1,MIA 9,3,7,Devontae Booker up the middle for 1 yard (tackle by Christian Wilkins),2.980,5.370
2,7:43,1,8,MIA 8,3,7,Devontae Booker up the middle for 3 yards (tackle by Jerome Baker),5.370,5.150
2,7:04,2,5,MIA 5,3,7,Derek Carr pass incomplete short right,5.150,4.260
2,6:57,3,5,MIA 5,3,7,Derek Carr pass incomplete short right,4.260,3.010
2,6:51,4,5,MIA 5,3,10,Daniel Carlson 23 yard field goal good,3.010,3.000
2,6:46,,,LVR 35,3,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,6:46,1,10,MIA 25,3,10,Tua Tagovailoa pass incomplete short right intended for Mike Gesicki (defended by Nevin Lawson),0.610,0.060
2,6:40,2,10,MIA 25,3,10,Myles Gaskin left tackle for 8 yards (tackle by Dallin Leavitt),0.060,0.430
2,5:58,3,2,MIA 33,3,10,Lynn Bowden left tackle for 8 yards (tackle by Raekwon McMillan),0.430,1.660
2,5:13,1,10,MIA 41,3,10,Tua Tagovailoa pass incomplete short right intended for Jakeem Grant,1.660,1.120
2,5:09,2,10,MIA 41,3,10,Tua Tagovailoa pass complete short right to Durham Smythe for 5 yards (tackle by Trayvon Mullen),1.120,1.090
2,4:24,3,5,MIA 46,3,10,Tua Tagovailoa pass complete short middle to Myles Gaskin for 4 yards (tackle by Cory Littleton),1.090,-0.060
2,3:38,4,1,MIA 50,3,10,Clayton Fejedelem up the middle for 22 yards (tackle by Hunter Renfrow),-0.060,3.710
2,2:51,1,10,LVR 28,3,10,Myles Gaskin right tackle for 9 yards (tackle by Raekwon McMillan),3.710,4.420
2,2:21,2,1,LVR 19,3,10,Myles Gaskin right end for -1 yards (tackle by Raekwon McMillan),4.420,3.530
2,2:00,3,2,LVR 20,3,10,Salvon Ahmed left guard for -1 yards (tackle by Johnathan Abram),3.530,2.160
2,1:47,,,,,,Timeout #1 by Las Vegas Raiders,,
2,1:47,4,3,LVR 21,6,10,Jason Sanders 39 yard field goal good,2.160,3.000
2,1:42,,,MIA 35,6,10,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,1:42,1,10,LVR 25,6,10,Derek Carr pass complete short right to Hunter Renfrow for 12 yards (tackle by Christian Wilkins),0.610,1.400
2,1:19,1,10,LVR 37,6,10,"Derek Carr pass incomplete deep right intended for Darren Waller. Penalty on Nik Needham: Defensive Holding, 5 yards (no play)",1.400,1.730
2,1:10,1,10,LVR 42,6,10,Derek Carr pass complete short left to Darren Waller for 19 yards (tackle by Bobby McCain),1.730,2.980
2,1:04,,,,,,Timeout #2 by Las Vegas Raiders,,
2,1:04,1,10,MIA 39,6,10,Derek Carr pass complete short left to Hunter Renfrow for 9 yards (tackle by Jerome Baker),2.980,3.660
2,0:44,2,1,MIA 30,6,10,Derek Carr pass complete short middle to Darren Waller for 9 yards (tackle by Eric Rowe),3.660,4.170
2,0:30,1,10,MIA 21,6,10,Derek Carr spiked the ball,4.170,3.630
2,0:29,2,10,MIA 21,6,10,Jalen Richard left tackle for 1 yard (tackle by Kyle Van Noy),3.630,3.070
2,0:21,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:21,3,9,MIA 20,6,10,Derek Carr pass incomplete short right intended for Jason Witten,3.070,2.120
2,0:16,4,9,MIA 20,6,13,Daniel Carlson 38 yard field goal good,2.120,3.000
2,0:11,,,LVR 35,6,13,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:11,1,10,MIA 25,6,13,Tua Tagovailoa kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,MIA,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,6,13,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,6,13,Tua Tagovailoa pass complete short left to Myles Gaskin for 5 yards (tackle by Javin White),0.610,0.740
3,14:38,2,5,MIA 30,6,13,Myles Gaskin left tackle for 24 yards (tackle by Raekwon McMillan and Johnathan Abram),0.740,2.520
3,14:07,1,10,LVR 46,6,13,Tua Tagovailoa pass complete short middle to Jakeem Grant for 6 yards (tackle by Carl Nassib),2.520,2.790
3,13:34,2,4,LVR 40,6,13,Tua Tagovailoa pass complete short middle to Jakeem Grant for 14 yards (tackle by Damon Arnette),2.790,3.840
3,13:05,1,10,LVR 26,6,13,Myles Gaskin right tackle for 1 yard (tackle by Johnathan Hankins),3.840,3.430
3,12:25,2,9,LVR 25,6,13,Tua Tagovailoa pass complete short middle to Jakeem Grant for 5 yards (tackle by Maurice Hurst),3.430,3.400
3,11:54,3,4,LVR 20,6,13,Tua Tagovailoa pass complete short middle to Isaiah Ford for 8 yards (tackle by Cory Littleton),3.400,4.780
3,11:15,1,10,LVR 12,6,13,Myles Gaskin left guard for 2 yards (tackle by Johnathan Hankins),4.780,4.450
3,10:38,2,8,LVR 10,12,13,"Tua Tagovailoa pass complete short middle to Myles Gaskin for 10 yards, touchdown",4.450,7.000
3,10:31,,,LVR 15,13,13,Jason Sanders kicks extra point good,0.000,0.000
3,10:31,,,MIA 35,13,13,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,10:31,1,10,LVR 25,13,13,Derek Carr pass complete short left to Nelson Agholor for 13 yards (tackle by Bobby McCain),0.610,1.470
3,9:55,1,10,LVR 38,13,13,Josh Jacobs left guard for 9 yards (tackle by Kyle Van Noy),1.470,2.140
3,9:23,2,1,LVR 47,13,13,Josh Jacobs left guard for no gain (tackle by Elandon Roberts),2.140,1.420
3,8:42,3,1,LVR 47,13,13,Derek Carr pass incomplete short left intended for Jason Witten,1.420,-0.260
3,8:36,4,1,LVR 47,13,13,Josh Jacobs up the middle for -1 yards (tackle by Zach Sieler),-0.260,-2.520
3,8:31,1,10,LVR 46,13,13,Tua Tagovailoa pass incomplete short right intended for Mack Hollins,2.520,1.980
3,8:24,2,10,LVR 46,13,13,Myles Gaskin up the middle for 1 yard (tackle by Cory Littleton),1.980,1.420
3,7:39,3,9,LVR 45,13,13,Tua Tagovailoa sacked by Kendal Vickers for -6 yards,1.420,-0.130
3,7:01,4,15,MIA 49,13,13,"Matt Haack punts 46 yards, returned by Hunter Renfrow for 13 yards (tackle by Blake Ferguson)",-0.130,-0.040
3,6:51,1,10,LVR 18,13,13,Derek Carr pass complete short middle to Nelson Agholor for 22 yards (tackle by Zach Sieler and Jerome Baker),0.040,1.600
3,6:00,1,10,LVR 40,13,13,Derek Carr pass complete short right to Bryan Edwards for 11 yards (tackle by Xavien Howard),1.600,2.320
3,5:25,1,10,MIA 49,13,13,Derek Carr pass complete deep right to Darren Waller for 33 yards (tackle by Eric Rowe),2.320,4.510
3,4:35,1,10,MIA 16,13,13,Derek Carr pass complete short right to Jason Witten for 10 yards (tackle by Brandon Jones),4.510,5.830
3,3:52,1,6,MIA 6,13,13,Devontae Booker up the middle for 1 yard (tackle by Jerome Baker),5.830,5.150
3,3:27,2,5,MIA 5,13,13,Derek Carr pass incomplete short right,5.150,4.260
3,3:21,3,5,MIA 5,13,13,Derek Carr pass complete short left to Hunter Renfrow for 3 yards (tackle by Nik Needham),4.260,3.250
