Quarter,Time,Tm,Detail,ATL,PIT
1,7:51,Steelers,Jeff Reed 52 yard field goal,0,3
2,0:00,Falcons,Matt Bryant 49 yard field goal,3,3
3,10:40,Falcons,Matt Bryant 39 yard field goal,6,3
,6:53,Steelers,Jeff Reed 36 yard field goal,6,6
4,8:54,Steelers,Jeff Reed 34 yard field goal,6,9
,3:24,Falcons,Matt Bryant 23 yard field goal,9,9
OT,12:25,Steelers,Rashard Mendenhall 50 yard rush,9,15
