Unnamed: 0,ATL,PIT
First Downs,18,14
Rush-Yds-TDs,25-58-0,31-143-1
Cmp-Att-Yd-TD-INT,27-44-252-0-1,18-26-236-0-1
Sacked-Yards,2-15,3-25
Net Pass Yards,237,211
Total Yards,295,354
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,3-24,4-25
Third Down Conv.,6-16,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,30:29,32:06
