Quarter,Time,Tm,Detail,KAN,SDG
1.0,2:09,Chiefs,Dontari Poe 1 yard rush (Cairo Santos kick failed),6,0
2.0,12:09,Chargers,Josh Lambo 52 yard field goal,6,3
,5:53,Chiefs,Cairo Santos 28 yard field goal,9,3
,0:03,Chiefs,Cairo Santos 24 yard field goal,12,3
3.0,3:27,Chiefs,Justin Houston 17 yard interception return (Cairo Santos kick),19,3
4.0,6:11,Chiefs,Spencer Ware 3 yard rush (Cairo Santos kick),26,3
,2:32,Chiefs,Spencer Ware 3 yard rush (Cairo Santos kick),33,3
