Unnamed: 0,KAN,SDG
First Downs,22,14
Rush-Yds-TDs,31-153-3,25-52-0
Cmp-Att-Yd-TD-INT,20-25-253-0-0,19-30-178-0-1
Sacked-Yards,3-21,3-29
Net Pass Yards,232,149
Total Yards,385,201
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-35,6-39
Third Down Conv.,5-12,4-13
Fourth Down Conv.,1-1,0-1
Time of Possession,33:28,26:32
