Unnamed: 0,KAN,BAL
First Downs,15,19
Rush-Yds-TDs,28-113-1,20-93-0
Cmp-Att-Yd-TD-INT,21-25-171-1-0,26-45-281-2-2
Sacked-Yards,3-7,2-8
Net Pass Yards,164,273
Total Yards,277,366
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,6-55,7-63
Third Down Conv.,5-13,4-13
Fourth Down Conv.,0-0,1-3
Time of Possession,32:19,27:41
