Quarter,Time,Down,ToGo,Location,KAN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 73 yards, returned by Knile Davis for 19 yards (tackle by Terrence Brooks)",0.000,0.370
1,14:56,1,10,KAN 11,0,0,Alex Smith pass complete short middle to Travis Kelce for 7 yards (tackle by Lardarius Webb),-0.370,0.000
1,14:20,2,3,KAN 18,0,0,Alex Smith pass complete short right to Travis Kelce for 4 yards (tackle by Shareece Wright),0.000,0.410
1,13:48,1,10,KAN 22,0,0,Charcandrick West right guard for 3 yards (tackle by Daryl Smith and Timmy Jernigan),0.410,0.270
1,13:11,2,7,KAN 25,0,0,Albert Wilson left end for 8 yards (tackle by Kendrick Lewis),0.270,1.140
1,12:29,1,10,KAN 33,0,0,Alex Smith sacked by Za'Darius Smith for -3 yards,1.140,0.190
1,11:46,2,13,KAN 30,0,0,Charcandrick West left tackle for 2 yards (tackle by C.J. Mosley and Courtney Upshaw),0.190,-0.230
1,11:01,3,11,KAN 32,0,0,"Alex Smith right end for 6 yards (tackle by Timmy Jernigan). Penalty on Timmy Jernigan: Unnecessary Roughness, 15 yards",-0.230,2.460
1,10:29,1,10,BAL 47,0,0,Charcandrick West right guard for 2 yards (tackle by Za'Darius Smith),2.460,2.180
1,9:47,2,8,BAL 45,0,0,Alex Smith pass complete short middle to Albert Wilson for 7 yards (tackle by Shareece Wright),2.180,2.410
1,9:22,3,1,BAL 38,6,0,"Charcandrick West left tackle for 38 yards, touchdown. Penalty on Charcandrick West: Unsportsmanlike Conduct, 15 yards",2.410,7.000
1,9:22,,,BAL 38,7,0,Cairo Santos kicks extra point good,0.000,0.000
1,9:22,,,KAN 20,7,0,"Cairo Santos kicks off 64 yards, returned by Kaelin Clay for 39 yards (tackle by Cairo Santos)",0.000,-2.590
1,9:06,1,10,KAN 45,7,0,Jimmy Clausen pass complete short left to Kamar Aiken for 8 yards (tackle by Eric Berry),2.590,3.120
1,8:31,2,2,KAN 37,7,0,Javorius Allen left tackle for 3 yards (tackle by Dee Ford),3.120,3.310
1,7:58,1,10,KAN 34,7,0,Jimmy Clausen pass complete deep right to Kamar Aiken for 30 yards (tackle by Marcus Peters),3.310,6.280
1,7:20,1,4,KAN 4,7,0,Jimmy Clausen pass incomplete short right intended for Javorius Allen,6.280,5.340
1,7:12,2,4,KAN 4,7,0,Javorius Allen right tackle for 3 yards (tackle by Jaye Howard and Derrick Johnson),5.340,5.170
1,6:35,3,1,KAN 1,7,6,"Jimmy Clausen pass complete short left to Kyle Juszczyk for 1 yard, touchdown",5.170,7.000
1,6:35,,,KAN 1,7,7,Justin Tucker kicks extra point good,0.000,0.000
1,6:35,,,BAL 35,7,7,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,6:30,1,10,KAN 20,7,7,Alex Smith pass incomplete short left intended for Travis Kelce,0.280,-0.270
1,6:24,2,10,KAN 20,7,7,"Penalty on Alex Smith: Delay of Game, 5 yards (no play)",-0.270,-1.070
1,6:24,2,15,KAN 15,7,7,Alex Smith sacked by Brent Urban for -3 yards,-1.070,-2.360
1,5:43,3,18,KAN 12,7,7,Alex Smith pass complete short middle to Travis Kelce for 5 yards (tackle by Daryl Smith),-2.360,-2.320
1,5:06,4,13,KAN 17,7,7,"Dustin Colquitt punts 56 yards, returned by Kaelin Clay for 10 yards (tackle by D.J. Alexander)",-2.320,-1.400
1,4:56,1,10,BAL 37,7,7,Javorius Allen right tackle for 9 yards (tackle by Derrick Johnson and Josh Mauga),1.400,2.070
1,4:20,2,1,BAL 46,7,7,Terrance West middle for 5 yards (tackle by Josh Mauga),2.070,2.320
1,3:47,1,10,KAN 49,7,7,Jimmy Clausen pass complete deep left to Kamar Aiken for 19 yards (tackle by Eric Berry),2.320,3.580
1,3:11,1,10,KAN 30,7,7,Jimmy Clausen pass incomplete short right intended for Kyle Juszczyk (defended by Daniel Sorensen),3.580,3.030
1,3:03,2,10,KAN 30,13,7,"Javorius Allen left guard for 3 yards (tackle by Derrick Johnson). Javorius Allen fumbles (forced by Derrick Johnson), recovered by Tyvon Branch at KAN-27 and returned for 73 yards, touchdown",3.030,-7.000
1,2:49,,,BAL 30,14,7,"Cairo Santos kicks extra point good. Penalty on Anthony Levine: Defensive Offside, 5 yards",0.000,0.000
1,2:49,,,KAN 40,14,7,"Cairo Santos kicks off 63 yards, returned by Kaelin Clay for 19 yards (tackle by Chris Conley)",0.000,0.140
1,2:45,1,10,BAL 16,14,7,Terrance West right tackle for 3 yards (tackle by Jaye Howard),-0.140,-0.180
1,2:07,2,7,BAL 19,14,7,Jimmy Clausen middle for 3 yards (tackle by Dontari Poe),-0.180,-0.180
1,1:27,2,7,BAL 19,14,7,Timeout #1 by Baltimore Ravens,-0.180,-0.570
1,1:27,3,4,BAL 22,14,7,"Penalty on Kyle Juszczyk: False Start, 5 yards (no play)",-0.570,-1.200
1,1:27,3,9,BAL 17,14,7,Jimmy Clausen pass incomplete short left intended for Kamar Aiken,-1.200,-2.320
1,1:24,4,9,BAL 17,14,7,Sam Koch middle for 7 yards (tackle by Daniel Sorensen),-2.320,-3.970
1,1:17,1,10,BAL 24,14,7,Charcandrick West left guard for 7 yards (tackle by Kendrick Lewis and Courtney Upshaw),3.970,4.460
1,0:38,2,3,BAL 17,14,7,Alex Smith pass complete short right to Jeremy Maclin for 4 yards (tackle by Will Hill),4.460,4.710
Quarter,Time,Down,ToGo,Location,KAN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 13,20,7,"Alex Smith pass complete short middle to Jeremy Maclin for 13 yards, touchdown",4.710,7.000
2,15:00,,,BAL 13,21,7,Cairo Santos kicks extra point good,0.000,0.000
2,15:00,,,KAN 35,21,7,"Cairo Santos kicks off 64 yards, returned by Kaelin Clay for 21 yards (tackle by Steven Nelson)",0.000,-0.410
2,14:50,1,10,BAL 22,21,7,Jimmy Clausen pass complete short right to Kamar Aiken for 2 yards (tackle by Derrick Johnson),0.410,0.140
2,14:18,2,8,BAL 24,21,7,Jimmy Clausen pass complete short left to Terrance West for 3 yards (tackle by Josh Mauga),0.140,-0.160
2,13:38,3,5,BAL 27,21,7,"Penalty on Chris Matthews: False Start, 5 yards (no play)",-0.160,-0.820
2,13:22,3,10,BAL 22,21,7,Jimmy Clausen left end for 8 yards (tackle by Derrick Johnson),-0.820,-1.370
2,12:49,4,2,BAL 30,21,7,"Sam Koch punts 45 yards, out of bounds. Penalty on Demetrius Harris: Running Into the Kicker, 5 yards (no play)",-1.370,1.270
2,12:40,1,10,BAL 35,21,7,Terrence Magee left tackle for 1 yard (tackle by Dontari Poe and Mike DeVito),1.270,0.860
2,12:03,2,9,BAL 36,21,7,Jimmy Clausen pass complete short left to Kamar Aiken for 10 yards (tackle by Sean Smith),0.860,1.990
2,11:29,1,10,BAL 46,21,7,Jimmy Clausen sacked by Jaye Howard for -5 yards,1.990,0.780
