Quarter,Time,Tm,Detail,TAM,SEA
1.0,8:56,Buccaneers,Matt Bryant 38 yard field goal,3,0
,0:00,Buccaneers,Matt Bryant 32 yard field goal,6,0
2.0,2:39,Seahawks,Josh Brown 28 yard field goal,6,3
,0:50,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),6,10
4.0,14:09,Seahawks,Josh Brown 46 yard field goal,6,13
,7:55,Seahawks,Maurice Morris 34 yard pass from Matt Hasselbeck (Josh Brown kick),6,20
