Unnamed: 0,MIN,TAM
First Downs,27,17
Rush-Yds-TDs,33-162-1,26-107-1
Cmp-Att-Yd-TD-INT,24-37-225-1-0,15-23-196-2-0
Sacked-Yards,6-52,0-0
Net Pass Yards,173,196
Total Yards,335,303
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,5-71,5-34
Third Down Conv.,5-15,5-11
Fourth Down Conv.,4-5,0-0
Time of Possession,39:03,20:57
