Quarter,Time,Tm,Detail,MIN,TAM
2.0,14:17,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick failed),6,0
,7:41,Buccaneers,Scott Miller 48 yard pass from Tom Brady (Ryan Succop kick),6,7
,0:44,Buccaneers,Ronald Jones II 1 yard rush (Ryan Succop kick),6,14
,0:00,Buccaneers,Ryan Succop 19 yard field goal,6,17
3.0,10:09,Buccaneers,Rob Gronkowski 2 yard pass from Tom Brady (Ryan Succop kick failed),6,23
,1:36,Vikings,Irv Smith Jr. 14 yard pass from Kirk Cousins (Justin Jefferson pass from Kirk Cousins),14,23
4.0,5:16,Buccaneers,Ryan Succop 48 yard field goal,14,26
